Batch,file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Batch4c_DGRP,Monitor10.txt,31,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,32,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor51.txt,1,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,2,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,3,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,4,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,5,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,6,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,7,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,8,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,9,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,10,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,11,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,12,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,13,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,14,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,15,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,16,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,17,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,18,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,19,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,20,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,21,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
Batch4c_DGRP,Monitor51.txt,22,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP391,21.5C,Winter,NA,08:12,M51
