Genotype	day	phase	value	n_batches
"DGRP627"	5	"Night sleep (ZT8-24)"	598	1
"DGRP627"	6	"Night sleep (ZT8-24)"	656	1
"DGRP630"	1	"Night sleep (ZT8-24)"	691.75	2
"DGRP630"	2	"Night sleep (ZT8-24)"	728.35818561001	2
"DGRP630"	3	"Night sleep (ZT8-24)"	688.5	2
"DGRP630"	4	"Night sleep (ZT8-24)"	674.5	2
"DGRP630"	5	"Night sleep (ZT8-24)"	664	2
"DGRP630"	6	"Night sleep (ZT8-24)"	628	2
"DGRP721"	1	"Night sleep (ZT8-24)"	671	1
"DGRP721"	2	"Night sleep (ZT8-24)"	573.597497393118	1
"DGRP721"	3	"Night sleep (ZT8-24)"	581	1
"DGRP721"	4	"Night sleep (ZT8-24)"	455	1
"DGRP721"	5	"Night sleep (ZT8-24)"	404	1
"DGRP721"	6	"Night sleep (ZT8-24)"	426	1
"DGRP748"	1	"Night sleep (ZT8-24)"	695	2
"DGRP748"	2	"Night sleep (ZT8-24)"	637.102971845673	2
"DGRP748"	3	"Night sleep (ZT8-24)"	617.25	2
"DGRP748"	4	"Night sleep (ZT8-24)"	616.5	2
"DGRP748"	5	"Night sleep (ZT8-24)"	610.5	2
"DGRP748"	6	"Night sleep (ZT8-24)"	586.5	2
"DGRP757"	1	"Night sleep (ZT8-24)"	570.5	2
"DGRP757"	2	"Night sleep (ZT8-24)"	522.231751824817	2
"DGRP757"	3	"Night sleep (ZT8-24)"	551.5	2
"DGRP757"	4	"Night sleep (ZT8-24)"	526.25	2
"DGRP757"	5	"Night sleep (ZT8-24)"	465	2
"DGRP757"	6	"Night sleep (ZT8-24)"	450	2
"DGRP776"	1	"Night sleep (ZT8-24)"	558	1
"DGRP776"	2	"Night sleep (ZT8-24)"	576.600625651721	1
"DGRP776"	3	"Night sleep (ZT8-24)"	592	1
"DGRP776"	4	"Night sleep (ZT8-24)"	512	1
"DGRP776"	5	"Night sleep (ZT8-24)"	537	1
"DGRP776"	6	"Night sleep (ZT8-24)"	513	1
"DGRP761"	1	"Night sleep (ZT8-24)"	686	1
"DGRP761"	2	"Night sleep (ZT8-24)"	659	1
"DGRP761"	3	"Night sleep (ZT8-24)"	648	1
"DGRP761"	4	"Night sleep (ZT8-24)"	665	1
"DGRP761"	5	"Night sleep (ZT8-24)"	661	1
"DGRP761"	6	"Night sleep (ZT8-24)"	623	1
"DGRP801"	1	"Night sleep (ZT8-24)"	666.5	1
"DGRP801"	2	"Night sleep (ZT8-24)"	663.5	1
"DGRP801"	3	"Night sleep (ZT8-24)"	672	1
"DGRP801"	4	"Night sleep (ZT8-24)"	696.5	1
"DGRP801"	5	"Night sleep (ZT8-24)"	690	1
"DGRP801"	6	"Night sleep (ZT8-24)"	679.5	1
"DGRP805"	1	"Night sleep (ZT8-24)"	417.5	1
"DGRP805"	2	"Night sleep (ZT8-24)"	424.5	1
"DGRP805"	3	"Night sleep (ZT8-24)"	430.5	1
"DGRP805"	4	"Night sleep (ZT8-24)"	415	1
"DGRP805"	5	"Night sleep (ZT8-24)"	373	1
"DGRP805"	6	"Night sleep (ZT8-24)"	384.5	1
"DGRP818"	1	"Night sleep (ZT8-24)"	389.5	1
"DGRP818"	2	"Night sleep (ZT8-24)"	390	1
"DGRP818"	3	"Night sleep (ZT8-24)"	344.5	1
"DGRP818"	4	"Night sleep (ZT8-24)"	319.5	1
"DGRP818"	5	"Night sleep (ZT8-24)"	408.5	1
"DGRP818"	6	"Night sleep (ZT8-24)"	335.5	1
"DGRP819"	1	"Night sleep (ZT8-24)"	683	1
"DGRP819"	2	"Night sleep (ZT8-24)"	670	1
"DGRP819"	3	"Night sleep (ZT8-24)"	629	1
"DGRP819"	4	"Night sleep (ZT8-24)"	618	1
"DGRP819"	5	"Night sleep (ZT8-24)"	590	1
"DGRP819"	6	"Night sleep (ZT8-24)"	556	1
"DGRP69"	1	"Night sleep (ZT8-24)"	715	2
"DGRP69"	2	"Night sleep (ZT8-24)"	676.75	2
"DGRP69"	3	"Night sleep (ZT8-24)"	651	2
"DGRP69"	4	"Night sleep (ZT8-24)"	650.5	2
"DGRP69"	5	"Night sleep (ZT8-24)"	639.75	2
"DGRP69"	6	"Night sleep (ZT8-24)"	644	2
"DGRP195"	1	"Night sleep (ZT8-24)"	619.25	2
"DGRP195"	2	"Night sleep (ZT8-24)"	621.5	2
"DGRP195"	3	"Night sleep (ZT8-24)"	616	2
"DGRP195"	4	"Night sleep (ZT8-24)"	604.5	2
"DGRP195"	5	"Night sleep (ZT8-24)"	617.25	2
"DGRP195"	6	"Night sleep (ZT8-24)"	637.75	2
"DGRP812"	1	"Night sleep (ZT8-24)"	460	1
"DGRP812"	2	"Night sleep (ZT8-24)"	491	1
"DGRP812"	3	"Night sleep (ZT8-24)"	553	1
"DGRP812"	4	"Night sleep (ZT8-24)"	554	1
"DGRP812"	5	"Night sleep (ZT8-24)"	557	1
"DGRP812"	6	"Night sleep (ZT8-24)"	607	1
"DGRP850"	1	"Night sleep (ZT8-24)"	576	1
"DGRP850"	2	"Night sleep (ZT8-24)"	448	1
"DGRP850"	3	"Night sleep (ZT8-24)"	556	1
"DGRP850"	4	"Night sleep (ZT8-24)"	532	1
"DGRP850"	5	"Night sleep (ZT8-24)"	567	1
"DGRP850"	6	"Night sleep (ZT8-24)"	518	1
"DGRP855"	1	"Night sleep (ZT8-24)"	352	1
"DGRP855"	2	"Night sleep (ZT8-24)"	358	1
"DGRP855"	3	"Night sleep (ZT8-24)"	338.5	1
"DGRP855"	4	"Night sleep (ZT8-24)"	303.5	1
"DGRP855"	5	"Night sleep (ZT8-24)"	347	1
"DGRP855"	6	"Night sleep (ZT8-24)"	398	1
"DGRP857"	1	"Night sleep (ZT8-24)"	526.5	1
"DGRP857"	2	"Night sleep (ZT8-24)"	450	1
"DGRP857"	3	"Night sleep (ZT8-24)"	382.5	1
"DGRP857"	4	"Night sleep (ZT8-24)"	339.5	1
"DGRP857"	5	"Night sleep (ZT8-24)"	323	1
"DGRP857"	6	"Night sleep (ZT8-24)"	204.5	1
"DGRP861"	1	"Night sleep (ZT8-24)"	235.5	1
"DGRP861"	2	"Night sleep (ZT8-24)"	230	1
"DGRP861"	3	"Night sleep (ZT8-24)"	228.5	1
"DGRP861"	4	"Night sleep (ZT8-24)"	226.5	1
"DGRP861"	5	"Night sleep (ZT8-24)"	229.5	1
"DGRP861"	6	"Night sleep (ZT8-24)"	254.5	1
"DGRP879"	1	"Night sleep (ZT8-24)"	724	1
"DGRP879"	2	"Night sleep (ZT8-24)"	751	1
"DGRP879"	3	"Night sleep (ZT8-24)"	768	1
"DGRP879"	4	"Night sleep (ZT8-24)"	761	1
"DGRP879"	5	"Night sleep (ZT8-24)"	784	1
"DGRP879"	6	"Night sleep (ZT8-24)"	771	1
"DGRP900"	1	"Night sleep (ZT8-24)"	524	1
"DGRP900"	2	"Night sleep (ZT8-24)"	521.5	1
"DGRP900"	3	"Night sleep (ZT8-24)"	469.5	1
"DGRP900"	4	"Night sleep (ZT8-24)"	446.5	1
"DGRP900"	5	"Night sleep (ZT8-24)"	433.5	1
"DGRP900"	6	"Night sleep (ZT8-24)"	394	1
"DGRP382"	1	"Night sleep (ZT8-24)"	822.75	2
"DGRP382"	2	"Night sleep (ZT8-24)"	840.5	2
"DGRP382"	3	"Night sleep (ZT8-24)"	835.75	2
"DGRP382"	4	"Night sleep (ZT8-24)"	833.5	2
"DGRP382"	5	"Night sleep (ZT8-24)"	847.75	2
"DGRP382"	6	"Night sleep (ZT8-24)"	836.5	2
"DGRP589"	1	"Night sleep (ZT8-24)"	698	1
"DGRP589"	2	"Night sleep (ZT8-24)"	708	1
"DGRP589"	3	"Night sleep (ZT8-24)"	633	1
"DGRP589"	4	"Night sleep (ZT8-24)"	693	1
"DGRP589"	5	"Night sleep (ZT8-24)"	724	1
"DGRP589"	6	"Night sleep (ZT8-24)"	711	1
"DGRP802"	1	"Night sleep (ZT8-24)"	498	1
"DGRP802"	2	"Night sleep (ZT8-24)"	482	1
"DGRP802"	3	"Night sleep (ZT8-24)"	524	1
"DGRP802"	4	"Night sleep (ZT8-24)"	483	1
"DGRP802"	5	"Night sleep (ZT8-24)"	512	1
"DGRP802"	6	"Night sleep (ZT8-24)"	540	1
"DGRP810"	1	"Night sleep (ZT8-24)"	524	1
"DGRP810"	2	"Night sleep (ZT8-24)"	512.5	1
"DGRP810"	3	"Night sleep (ZT8-24)"	492	1
"DGRP810"	4	"Night sleep (ZT8-24)"	472.5	1
"DGRP810"	5	"Night sleep (ZT8-24)"	474	1
"DGRP810"	6	"Night sleep (ZT8-24)"	451	1
"DGRP821"	1	"Night sleep (ZT8-24)"	729.25	2
"DGRP821"	2	"Night sleep (ZT8-24)"	742.75	2
"DGRP821"	3	"Night sleep (ZT8-24)"	726.25	2
"DGRP821"	4	"Night sleep (ZT8-24)"	725.5	2
"DGRP821"	5	"Night sleep (ZT8-24)"	740.25	2
"DGRP821"	6	"Night sleep (ZT8-24)"	750.25	2
"DGRP911"	1	"Night sleep (ZT8-24)"	577.5	1
"DGRP911"	2	"Night sleep (ZT8-24)"	464	1
"DGRP911"	3	"Night sleep (ZT8-24)"	383	1
"DGRP911"	4	"Night sleep (ZT8-24)"	316	1
"DGRP911"	5	"Night sleep (ZT8-24)"	338	1
"DGRP911"	6	"Night sleep (ZT8-24)"	301	1
"DGRP83"	1	"Night sleep (ZT8-24)"	687	1
"DGRP83"	2	"Night sleep (ZT8-24)"	652	1
"DGRP83"	3	"Night sleep (ZT8-24)"	671	1
"DGRP83"	4	"Night sleep (ZT8-24)"	615	1
"DGRP83"	5	"Night sleep (ZT8-24)"	574	1
"DGRP83"	6	"Night sleep (ZT8-24)"	563	1
"DGRP303"	1	"Day sleep (ZT0-8)"	416.75	2
"DGRP303"	2	"Day sleep (ZT0-8)"	406.75	2
"DGRP303"	3	"Day sleep (ZT0-8)"	391.75	2
"DGRP303"	4	"Day sleep (ZT0-8)"	378.75	2
"DGRP303"	5	"Day sleep (ZT0-8)"	344.5	2
"DGRP303"	6	"Day sleep (ZT0-8)"	362.5	2
"DGRP307"	1	"Day sleep (ZT0-8)"	390.25	2
"DGRP307"	2	"Day sleep (ZT0-8)"	335	2
"DGRP307"	3	"Day sleep (ZT0-8)"	306.5	2
"DGRP307"	4	"Day sleep (ZT0-8)"	271.5	2
"DGRP307"	5	"Day sleep (ZT0-8)"	273.75	2
"DGRP307"	6	"Day sleep (ZT0-8)"	260.25	2
"DGRP362"	1	"Day sleep (ZT0-8)"	387.75	2
"DGRP362"	2	"Day sleep (ZT0-8)"	402.25	2
"DGRP362"	3	"Day sleep (ZT0-8)"	391.25	2
"DGRP362"	4	"Day sleep (ZT0-8)"	383.75	2
"DGRP362"	5	"Day sleep (ZT0-8)"	396	2
"DGRP362"	6	"Day sleep (ZT0-8)"	393.25	2
"DGRP313"	1	"Day sleep (ZT0-8)"	108	2
"DGRP313"	2	"Day sleep (ZT0-8)"	106	2
"DGRP313"	3	"Day sleep (ZT0-8)"	95	2
"DGRP313"	4	"Day sleep (ZT0-8)"	82	2
"DGRP313"	5	"Day sleep (ZT0-8)"	75.5	2
"DGRP313"	6	"Day sleep (ZT0-8)"	119.5	2
"DGRP358"	1	"Day sleep (ZT0-8)"	252.75	2
"DGRP358"	2	"Day sleep (ZT0-8)"	244.5	2
"DGRP358"	3	"Day sleep (ZT0-8)"	219.5	2
"DGRP358"	4	"Day sleep (ZT0-8)"	215.25	2
"DGRP358"	5	"Day sleep (ZT0-8)"	208.5	2
"DGRP358"	6	"Day sleep (ZT0-8)"	219	2
"DGRP208"	1	"Day sleep (ZT0-8)"	396.5	2
"DGRP208"	2	"Day sleep (ZT0-8)"	372.25	2
"DGRP208"	3	"Day sleep (ZT0-8)"	392.5	2
"DGRP208"	4	"Day sleep (ZT0-8)"	298.75	2
"DGRP208"	5	"Day sleep (ZT0-8)"	283.75	2
"DGRP208"	6	"Day sleep (ZT0-8)"	256.25	2
"DGRP304"	1	"Day sleep (ZT0-8)"	403.5	2
"DGRP304"	2	"Day sleep (ZT0-8)"	394.5	2
"DGRP304"	3	"Day sleep (ZT0-8)"	396.5	2
"DGRP304"	4	"Day sleep (ZT0-8)"	379	2
"DGRP304"	5	"Day sleep (ZT0-8)"	354.5	2
"DGRP304"	6	"Day sleep (ZT0-8)"	349.5	2
"DGRP324"	1	"Day sleep (ZT0-8)"	403	2
"DGRP324"	2	"Day sleep (ZT0-8)"	378.75	2
"DGRP324"	3	"Day sleep (ZT0-8)"	369.25	2
"DGRP324"	4	"Day sleep (ZT0-8)"	351.75	2
"DGRP324"	5	"Day sleep (ZT0-8)"	330.75	2
"DGRP324"	6	"Day sleep (ZT0-8)"	288.5	2
"DGRP360"	1	"Day sleep (ZT0-8)"	208	2
"DGRP360"	2	"Day sleep (ZT0-8)"	168.5	2
"DGRP360"	3	"Day sleep (ZT0-8)"	108.25	2
"DGRP360"	4	"Day sleep (ZT0-8)"	128.25	2
"DGRP360"	5	"Day sleep (ZT0-8)"	139	2
"DGRP360"	6	"Day sleep (ZT0-8)"	137.5	2
"DGRP375"	1	"Day sleep (ZT0-8)"	430.25	2
"DGRP375"	2	"Day sleep (ZT0-8)"	456.75	2
"DGRP375"	3	"Day sleep (ZT0-8)"	461.25	2
"DGRP375"	4	"Day sleep (ZT0-8)"	444.5	2
"DGRP375"	5	"Day sleep (ZT0-8)"	429	2
"DGRP375"	6	"Day sleep (ZT0-8)"	415.5	2
"DGRP774"	1	"Day sleep (ZT0-8)"	371	1
"DGRP774"	2	"Day sleep (ZT0-8)"	326.5	1
"DGRP774"	3	"Day sleep (ZT0-8)"	315	1
"DGRP774"	4	"Day sleep (ZT0-8)"	296	1
"DGRP774"	5	"Day sleep (ZT0-8)"	225.5	1
"DGRP774"	6	"Day sleep (ZT0-8)"	192.5	1
"DGRP301"	1	"Day sleep (ZT0-8)"	315	1
"DGRP301"	2	"Day sleep (ZT0-8)"	313	1
"DGRP301"	3	"Day sleep (ZT0-8)"	237	1
"DGRP301"	4	"Day sleep (ZT0-8)"	215	1
"DGRP301"	5	"Day sleep (ZT0-8)"	291	1
"DGRP301"	6	"Day sleep (ZT0-8)"	265	1
"DGRP705"	1	"Day sleep (ZT0-8)"	342	2
"DGRP705"	2	"Day sleep (ZT0-8)"	363.5	2
"DGRP705"	3	"Day sleep (ZT0-8)"	354.5	2
"DGRP705"	4	"Day sleep (ZT0-8)"	353	2
"DGRP705"	5	"Day sleep (ZT0-8)"	354	2
"DGRP705"	6	"Day sleep (ZT0-8)"	334.25	2
"DGRP799"	1	"Day sleep (ZT0-8)"	374.5	1
"DGRP799"	2	"Day sleep (ZT0-8)"	367.5	1
"DGRP799"	3	"Day sleep (ZT0-8)"	313	1
"DGRP799"	4	"Day sleep (ZT0-8)"	255.5	1
"DGRP799"	5	"Day sleep (ZT0-8)"	232	1
"DGRP799"	6	"Day sleep (ZT0-8)"	248	1
"DGRP714"	1	"Day sleep (ZT0-8)"	372	1
"DGRP714"	2	"Day sleep (ZT0-8)"	355	1
"DGRP714"	3	"Day sleep (ZT0-8)"	345	1
"DGRP714"	4	"Day sleep (ZT0-8)"	335	1
"DGRP714"	5	"Day sleep (ZT0-8)"	377	1
"DGRP714"	6	"Day sleep (ZT0-8)"	381	1
"DGRP859"	1	"Day sleep (ZT0-8)"	144	1
"DGRP859"	2	"Day sleep (ZT0-8)"	93	1
"DGRP859"	3	"Day sleep (ZT0-8)"	57	1
"DGRP859"	4	"Day sleep (ZT0-8)"	28	1
"DGRP859"	5	"Day sleep (ZT0-8)"	38	1
"DGRP859"	6	"Day sleep (ZT0-8)"	68	1
"DGRP786"	1	"Day sleep (ZT0-8)"	427	1
"DGRP786"	2	"Day sleep (ZT0-8)"	393	1
"DGRP786"	3	"Day sleep (ZT0-8)"	382	1
"DGRP786"	4	"Day sleep (ZT0-8)"	388	1
"DGRP786"	5	"Day sleep (ZT0-8)"	373	1
"DGRP786"	6	"Day sleep (ZT0-8)"	387	1
"DGRP852"	1	"Day sleep (ZT0-8)"	368	1
"DGRP852"	2	"Day sleep (ZT0-8)"	334	1
"DGRP852"	3	"Day sleep (ZT0-8)"	326	1
"DGRP852"	4	"Day sleep (ZT0-8)"	307	1
"DGRP852"	5	"Day sleep (ZT0-8)"	313	1
"DGRP852"	6	"Day sleep (ZT0-8)"	361	1
"DGRP365"	1	"Day sleep (ZT0-8)"	314	1
"DGRP365"	2	"Day sleep (ZT0-8)"	357	1
"DGRP365"	3	"Day sleep (ZT0-8)"	366	1
"DGRP365"	4	"Day sleep (ZT0-8)"	374	1
"DGRP365"	5	"Day sleep (ZT0-8)"	423	1
"DGRP365"	6	"Day sleep (ZT0-8)"	378	1
"DGRP357"	1	"Day sleep (ZT0-8)"	235.5	1
"DGRP357"	2	"Day sleep (ZT0-8)"	194	1
"DGRP357"	3	"Day sleep (ZT0-8)"	157.5	1
"DGRP357"	4	"Day sleep (ZT0-8)"	142.5	1
"DGRP357"	5	"Day sleep (ZT0-8)"	143	1
"DGRP357"	6	"Day sleep (ZT0-8)"	176.5	1
"DGRP820"	1	"Day sleep (ZT0-8)"	432	2
"DGRP820"	2	"Day sleep (ZT0-8)"	431.5	2
"DGRP820"	3	"Day sleep (ZT0-8)"	407.5	2
"DGRP820"	4	"Day sleep (ZT0-8)"	389	2
"DGRP820"	5	"Day sleep (ZT0-8)"	356.5	2
"DGRP820"	6	"Day sleep (ZT0-8)"	303.5	2
"DGRP380"	1	"Day sleep (ZT0-8)"	365.166666666667	3
"DGRP380"	2	"Day sleep (ZT0-8)"	369	3
"DGRP380"	3	"Day sleep (ZT0-8)"	367.5	3
"DGRP380"	4	"Day sleep (ZT0-8)"	363.333333333333	3
"DGRP380"	5	"Day sleep (ZT0-8)"	348.333333333333	3
"DGRP380"	6	"Day sleep (ZT0-8)"	358	3
"DGRP555"	1	"Day sleep (ZT0-8)"	293.25	2
"DGRP555"	2	"Day sleep (ZT0-8)"	312.5	2
"DGRP555"	3	"Day sleep (ZT0-8)"	323	2
"DGRP555"	4	"Day sleep (ZT0-8)"	315.75	2
"DGRP555"	5	"Day sleep (ZT0-8)"	309.75	2
"DGRP555"	6	"Day sleep (ZT0-8)"	347.75	2
"DGRP765"	1	"Day sleep (ZT0-8)"	135.333333333333	3
"DGRP765"	2	"Day sleep (ZT0-8)"	127.5	3
"DGRP765"	3	"Day sleep (ZT0-8)"	127.166666666667	3
"DGRP765"	4	"Day sleep (ZT0-8)"	130.5	3
"DGRP765"	5	"Day sleep (ZT0-8)"	157.5	3
"DGRP765"	6	"Day sleep (ZT0-8)"	154.833333333333	3
"DGRP399"	1	"Day sleep (ZT0-8)"	407.5	2
"DGRP399"	2	"Day sleep (ZT0-8)"	380	2
"DGRP399"	3	"Day sleep (ZT0-8)"	356	2
"DGRP399"	4	"Day sleep (ZT0-8)"	344.5	2
"DGRP399"	5	"Day sleep (ZT0-8)"	309.5	2
"DGRP399"	6	"Day sleep (ZT0-8)"	290.5	2
"DGRP730"	1	"Day sleep (ZT0-8)"	314.5	2
"DGRP730"	2	"Day sleep (ZT0-8)"	274	2
"DGRP730"	3	"Day sleep (ZT0-8)"	273.25	2
"DGRP730"	4	"Day sleep (ZT0-8)"	256	2
"DGRP730"	5	"Day sleep (ZT0-8)"	266.25	2
"DGRP730"	6	"Day sleep (ZT0-8)"	216.75	2
"DGRP712"	1	"Day sleep (ZT0-8)"	384.25	2
"DGRP712"	2	"Day sleep (ZT0-8)"	357	2
"DGRP712"	3	"Day sleep (ZT0-8)"	310.25	2
"DGRP712"	4	"Day sleep (ZT0-8)"	307	2
"DGRP712"	5	"Day sleep (ZT0-8)"	299	2
"DGRP712"	6	"Day sleep (ZT0-8)"	298	2
"DGRP391"	1	"Day sleep (ZT0-8)"	267.875	4
"DGRP391"	2	"Day sleep (ZT0-8)"	235.5	4
"DGRP391"	3	"Day sleep (ZT0-8)"	189.625	4
"DGRP391"	4	"Day sleep (ZT0-8)"	182.375	4
"DGRP391"	5	"Day sleep (ZT0-8)"	206	4
"DGRP391"	6	"Day sleep (ZT0-8)"	224.125	4
"DGRP707"	1	"Day sleep (ZT0-8)"	417.75	2
"DGRP707"	2	"Day sleep (ZT0-8)"	420.147181628393	2
"DGRP707"	3	"Day sleep (ZT0-8)"	423.5	2
"DGRP707"	4	"Day sleep (ZT0-8)"	426.5	2
"DGRP707"	5	"Day sleep (ZT0-8)"	411.5	2
"DGRP707"	6	"Day sleep (ZT0-8)"	400.75	2
"DGRP437"	1	"Day sleep (ZT0-8)"	297	3
"DGRP437"	2	"Day sleep (ZT0-8)"	270.833333333333	3
"DGRP437"	3	"Day sleep (ZT0-8)"	241.666666666667	3
"DGRP437"	4	"Day sleep (ZT0-8)"	199.166666666667	3
"DGRP437"	5	"Day sleep (ZT0-8)"	228.833333333333	3
"DGRP437"	6	"Day sleep (ZT0-8)"	228.833333333333	3
"DGRP639"	1	"Day sleep (ZT0-8)"	363.75	2
"DGRP639"	2	"Day sleep (ZT0-8)"	355	2
"DGRP639"	3	"Day sleep (ZT0-8)"	343.75	2
"DGRP639"	4	"Day sleep (ZT0-8)"	307.5	2
"DGRP639"	5	"Day sleep (ZT0-8)"	305.75	2
"DGRP639"	6	"Day sleep (ZT0-8)"	292.75	2
"DGRP732"	1	"Day sleep (ZT0-8)"	344	2
"DGRP732"	2	"Day sleep (ZT0-8)"	338.25	2
"DGRP732"	3	"Day sleep (ZT0-8)"	313	2
"DGRP732"	4	"Day sleep (ZT0-8)"	301.75	2
"DGRP732"	5	"Day sleep (ZT0-8)"	290.5	2
"DGRP732"	6	"Day sleep (ZT0-8)"	310	2
"DGRP374"	1	"Day sleep (ZT0-8)"	295	1
"DGRP374"	2	"Day sleep (ZT0-8)"	300.5	1
"DGRP374"	3	"Day sleep (ZT0-8)"	241	1
"DGRP374"	4	"Day sleep (ZT0-8)"	233	1
"DGRP374"	5	"Day sleep (ZT0-8)"	263.5	1
"DGRP374"	6	"Day sleep (ZT0-8)"	221	1
"DGRP486"	1	"Day sleep (ZT0-8)"	314.75	2
"DGRP486"	2	"Day sleep (ZT0-8)"	316	2
"DGRP486"	3	"Day sleep (ZT0-8)"	275.5	2
"DGRP486"	4	"Day sleep (ZT0-8)"	297	2
"DGRP486"	5	"Day sleep (ZT0-8)"	266.25	2
"DGRP486"	6	"Day sleep (ZT0-8)"	241.25	2
"DGRP59"	1	"Day sleep (ZT0-8)"	295	1
"DGRP59"	2	"Day sleep (ZT0-8)"	273	1
"DGRP59"	3	"Day sleep (ZT0-8)"	266	1
"DGRP59"	4	"Day sleep (ZT0-8)"	197	1
"DGRP59"	5	"Day sleep (ZT0-8)"	263	1
"DGRP59"	6	"Day sleep (ZT0-8)"	226	1
"DGRP101"	1	"Day sleep (ZT0-8)"	366	1
"DGRP101"	2	"Day sleep (ZT0-8)"	361	1
"DGRP101"	3	"Day sleep (ZT0-8)"	317	1
"DGRP101"	4	"Day sleep (ZT0-8)"	293	1
"DGRP101"	5	"Day sleep (ZT0-8)"	289	1
"DGRP101"	6	"Day sleep (ZT0-8)"	291	1
"DGRP318"	1	"Day sleep (ZT0-8)"	272	1
"DGRP318"	2	"Day sleep (ZT0-8)"	199	1
"DGRP318"	3	"Day sleep (ZT0-8)"	181	1
"DGRP318"	4	"Day sleep (ZT0-8)"	171	1
"DGRP318"	5	"Day sleep (ZT0-8)"	171.5	1
"DGRP318"	6	"Day sleep (ZT0-8)"	122.5	1
"DGRP335"	1	"Day sleep (ZT0-8)"	395.666666666667	3
"DGRP335"	2	"Day sleep (ZT0-8)"	416.833333333333	3
"DGRP335"	3	"Day sleep (ZT0-8)"	418.666666666667	3
"DGRP335"	4	"Day sleep (ZT0-8)"	412	3
"DGRP335"	5	"Day sleep (ZT0-8)"	420.5	3
"DGRP335"	6	"Day sleep (ZT0-8)"	419.5	3
"DGRP338"	1	"Day sleep (ZT0-8)"	406.5	2
"DGRP338"	2	"Day sleep (ZT0-8)"	421	2
"DGRP338"	3	"Day sleep (ZT0-8)"	411.25	2
"DGRP338"	4	"Day sleep (ZT0-8)"	394	2
"DGRP338"	5	"Day sleep (ZT0-8)"	409	2
"DGRP338"	6	"Day sleep (ZT0-8)"	380	2
"DGRP584"	1	"Day sleep (ZT0-8)"	363	2
"DGRP584"	2	"Day sleep (ZT0-8)"	394.407098121086	2
"DGRP584"	3	"Day sleep (ZT0-8)"	369.5	2
"DGRP584"	4	"Day sleep (ZT0-8)"	339.5	2
"DGRP584"	5	"Day sleep (ZT0-8)"	352.5	2
"DGRP584"	6	"Day sleep (ZT0-8)"	368	2
"DGRP796"	1	"Day sleep (ZT0-8)"	244	1
"DGRP796"	2	"Day sleep (ZT0-8)"	268.5	1
"DGRP796"	3	"Day sleep (ZT0-8)"	257.5	1
"DGRP796"	4	"Day sleep (ZT0-8)"	315.5	1
"DGRP796"	5	"Day sleep (ZT0-8)"	322	1
"DGRP796"	6	"Day sleep (ZT0-8)"	314.5	1
"DGRP31"	1	"Day sleep (ZT0-8)"	416.5	1
"DGRP31"	2	"Day sleep (ZT0-8)"	418	1
"DGRP31"	3	"Day sleep (ZT0-8)"	414	1
"DGRP31"	4	"Day sleep (ZT0-8)"	312	1
"DGRP31"	5	"Day sleep (ZT0-8)"	347	1
"DGRP31"	6	"Day sleep (ZT0-8)"	363	1
"DGRP843"	1	"Day sleep (ZT0-8)"	441	1
"DGRP843"	2	"Day sleep (ZT0-8)"	432.5	1
"DGRP843"	3	"Day sleep (ZT0-8)"	418	1
"DGRP843"	4	"Day sleep (ZT0-8)"	397	1
"DGRP843"	5	"Day sleep (ZT0-8)"	388.5	1
"DGRP843"	6	"Day sleep (ZT0-8)"	377	1
"DGRP379"	1	"Day sleep (ZT0-8)"	287.5	1
"DGRP379"	2	"Day sleep (ZT0-8)"	303.5	1
"DGRP379"	3	"Day sleep (ZT0-8)"	312	1
"DGRP379"	4	"Day sleep (ZT0-8)"	275.5	1
"DGRP379"	5	"Day sleep (ZT0-8)"	288	1
"DGRP379"	6	"Day sleep (ZT0-8)"	267	1
"DGRP441"	1	"Day sleep (ZT0-8)"	327	3
"DGRP441"	2	"Day sleep (ZT0-8)"	311	3
"DGRP441"	3	"Day sleep (ZT0-8)"	309.666666666667	3
"DGRP441"	4	"Day sleep (ZT0-8)"	280	3
"DGRP441"	5	"Day sleep (ZT0-8)"	269.333333333333	3
"DGRP441"	6	"Day sleep (ZT0-8)"	272	3
"DGRP517"	1	"Day sleep (ZT0-8)"	354	2
"DGRP517"	2	"Day sleep (ZT0-8)"	301.25	2
"DGRP517"	3	"Day sleep (ZT0-8)"	277.5	2
"DGRP517"	4	"Day sleep (ZT0-8)"	263.25	2
"DGRP517"	5	"Day sleep (ZT0-8)"	261	2
"DGRP517"	6	"Day sleep (ZT0-8)"	284	2
"DGRP783"	1	"Day sleep (ZT0-8)"	380.75	2
"DGRP783"	2	"Day sleep (ZT0-8)"	351.348643006263	2
"DGRP783"	3	"Day sleep (ZT0-8)"	333.75	2
"DGRP783"	4	"Day sleep (ZT0-8)"	308.75	2
"DGRP783"	5	"Day sleep (ZT0-8)"	298.5	2
"DGRP783"	6	"Day sleep (ZT0-8)"	281.25	2
"DGRP897"	1	"Day sleep (ZT0-8)"	351	1
"DGRP897"	2	"Day sleep (ZT0-8)"	341	1
"DGRP897"	3	"Day sleep (ZT0-8)"	322.5	1
"DGRP897"	4	"Day sleep (ZT0-8)"	311.5	1
"DGRP897"	5	"Day sleep (ZT0-8)"	292.5	1
"DGRP897"	6	"Day sleep (ZT0-8)"	282	1
"DGRP913"	1	"Day sleep (ZT0-8)"	374.5	1
"DGRP913"	2	"Day sleep (ZT0-8)"	421	1
