Genotype	day	phase	value	n_batches
"DGRP765"	6	"Night sleep (ZT8-24)"	236.166666666667	3
"DGRP399"	1	"Night sleep (ZT8-24)"	525	2
"DGRP399"	2	"Night sleep (ZT8-24)"	366.5	2
"DGRP399"	3	"Night sleep (ZT8-24)"	308.5	2
"DGRP399"	4	"Night sleep (ZT8-24)"	349.5	2
"DGRP399"	5	"Night sleep (ZT8-24)"	290	2
"DGRP399"	6	"Night sleep (ZT8-24)"	247.5	2
"DGRP730"	1	"Night sleep (ZT8-24)"	429.25	2
"DGRP730"	2	"Night sleep (ZT8-24)"	377	2
"DGRP730"	3	"Night sleep (ZT8-24)"	318	2
"DGRP730"	4	"Night sleep (ZT8-24)"	267.25	2
"DGRP730"	5	"Night sleep (ZT8-24)"	229	2
"DGRP730"	6	"Night sleep (ZT8-24)"	193.75	2
"DGRP712"	1	"Night sleep (ZT8-24)"	386.75	2
"DGRP712"	2	"Night sleep (ZT8-24)"	352	2
"DGRP712"	3	"Night sleep (ZT8-24)"	281.75	2
"DGRP712"	4	"Night sleep (ZT8-24)"	319.25	2
"DGRP712"	5	"Night sleep (ZT8-24)"	354	2
"DGRP712"	6	"Night sleep (ZT8-24)"	377.5	2
"DGRP391"	1	"Night sleep (ZT8-24)"	519.75	4
"DGRP391"	2	"Night sleep (ZT8-24)"	534.375	4
"DGRP391"	3	"Night sleep (ZT8-24)"	516.625	4
"DGRP391"	4	"Night sleep (ZT8-24)"	554.625	4
"DGRP391"	5	"Night sleep (ZT8-24)"	567.75	4
"DGRP391"	6	"Night sleep (ZT8-24)"	560.75	4
"DGRP707"	1	"Night sleep (ZT8-24)"	726	2
"DGRP707"	2	"Night sleep (ZT8-24)"	733.123566214807	2
"DGRP707"	3	"Night sleep (ZT8-24)"	714.25	2
"DGRP707"	4	"Night sleep (ZT8-24)"	745	2
"DGRP707"	5	"Night sleep (ZT8-24)"	695.75	2
"DGRP707"	6	"Night sleep (ZT8-24)"	717.25	2
"DGRP437"	1	"Night sleep (ZT8-24)"	663.833333333333	3
"DGRP437"	2	"Night sleep (ZT8-24)"	624.666666666667	3
"DGRP437"	3	"Night sleep (ZT8-24)"	593.833333333333	3
"DGRP437"	4	"Night sleep (ZT8-24)"	512.666666666667	3
"DGRP437"	5	"Night sleep (ZT8-24)"	497.333333333333	3
"DGRP437"	6	"Night sleep (ZT8-24)"	517	3
"DGRP639"	1	"Night sleep (ZT8-24)"	583.75	2
"DGRP639"	2	"Night sleep (ZT8-24)"	586.5	2
"DGRP639"	3	"Night sleep (ZT8-24)"	555.75	2
"DGRP639"	4	"Night sleep (ZT8-24)"	501.25	2
"DGRP639"	5	"Night sleep (ZT8-24)"	516	2
"DGRP639"	6	"Night sleep (ZT8-24)"	572.25	2
"DGRP732"	1	"Night sleep (ZT8-24)"	606	2
"DGRP732"	2	"Night sleep (ZT8-24)"	546.25	2
"DGRP732"	3	"Night sleep (ZT8-24)"	521	2
"DGRP732"	4	"Night sleep (ZT8-24)"	522.5	2
"DGRP732"	5	"Night sleep (ZT8-24)"	527.25	2
"DGRP732"	6	"Night sleep (ZT8-24)"	522.5	2
"DGRP374"	1	"Night sleep (ZT8-24)"	745.5	1
"DGRP374"	2	"Night sleep (ZT8-24)"	698	1
"DGRP374"	3	"Night sleep (ZT8-24)"	648.5	1
"DGRP374"	4	"Night sleep (ZT8-24)"	651.5	1
"DGRP374"	5	"Night sleep (ZT8-24)"	696.5	1
"DGRP374"	6	"Night sleep (ZT8-24)"	710	1
"DGRP486"	1	"Night sleep (ZT8-24)"	364.75	2
"DGRP486"	2	"Night sleep (ZT8-24)"	363.75	2
"DGRP486"	3	"Night sleep (ZT8-24)"	356.75	2
"DGRP486"	4	"Night sleep (ZT8-24)"	359.75	2
"DGRP486"	5	"Night sleep (ZT8-24)"	340.75	2
"DGRP486"	6	"Night sleep (ZT8-24)"	437.5	2
"DGRP59"	1	"Night sleep (ZT8-24)"	568	1
"DGRP59"	2	"Night sleep (ZT8-24)"	545	1
"DGRP59"	3	"Night sleep (ZT8-24)"	547	1
"DGRP59"	4	"Night sleep (ZT8-24)"	506	1
"DGRP59"	5	"Night sleep (ZT8-24)"	534	1
"DGRP59"	6	"Night sleep (ZT8-24)"	543	1
"DGRP101"	1	"Night sleep (ZT8-24)"	678	1
"DGRP101"	2	"Night sleep (ZT8-24)"	671	1
"DGRP101"	3	"Night sleep (ZT8-24)"	642	1
"DGRP101"	4	"Night sleep (ZT8-24)"	627	1
"DGRP101"	5	"Night sleep (ZT8-24)"	650	1
"DGRP101"	6	"Night sleep (ZT8-24)"	690	1
"DGRP318"	1	"Night sleep (ZT8-24)"	642	1
"DGRP318"	2	"Night sleep (ZT8-24)"	499	1
"DGRP318"	3	"Night sleep (ZT8-24)"	507	1
"DGRP318"	4	"Night sleep (ZT8-24)"	434.5	1
"DGRP318"	5	"Night sleep (ZT8-24)"	429.5	1
"DGRP318"	6	"Night sleep (ZT8-24)"	454	1
"DGRP335"	1	"Night sleep (ZT8-24)"	880.166666666667	3
"DGRP335"	2	"Night sleep (ZT8-24)"	870.333333333333	3
"DGRP335"	3	"Night sleep (ZT8-24)"	860.166666666667	3
"DGRP335"	4	"Night sleep (ZT8-24)"	872	3
"DGRP335"	5	"Night sleep (ZT8-24)"	898.833333333333	3
"DGRP335"	6	"Night sleep (ZT8-24)"	846.833333333333	3
"DGRP338"	1	"Night sleep (ZT8-24)"	815.25	2
"DGRP338"	2	"Night sleep (ZT8-24)"	785.75	2
"DGRP338"	3	"Night sleep (ZT8-24)"	789.5	2
"DGRP338"	4	"Night sleep (ZT8-24)"	771	2
