Batch	Genotype	slot	value	n_flies	signal	zt
"Batch14_DGRP"	"CS"	25	0.0427777777777778	12	"Moving"	12.75
"Batch14_DGRP"	"CS"	26	0.0122222222222222	12	"Moving"	13.25
"Batch14_DGRP"	"CS"	27	0.00888888888888889	12	"Moving"	13.75
"Batch14_DGRP"	"CS"	28	0.00111111111111111	12	"Moving"	14.25
"Batch14_DGRP"	"CS"	29	0.01	12	"Moving"	14.75
"Batch14_DGRP"	"CS"	30	0.00888888888888889	12	"Moving"	15.25
"Batch14_DGRP"	"CS"	31	0.00222222222222222	12	"Moving"	15.75
"Batch14_DGRP"	"CS"	32	0.00777777777777778	12	"Moving"	16.25
"Batch14_DGRP"	"CS"	33	0.01	12	"Moving"	16.75
"Batch14_DGRP"	"CS"	34	0.00222222222222222	12	"Moving"	17.25
"Batch14_DGRP"	"CS"	35	0.00555555555555555	12	"Moving"	17.75
"Batch14_DGRP"	"CS"	36	0.00833333333333334	12	"Moving"	18.25
"Batch14_DGRP"	"CS"	37	0.0238888888888889	12	"Moving"	18.75
"Batch14_DGRP"	"CS"	38	0.0466666666666667	12	"Moving"	19.25
"Batch14_DGRP"	"CS"	39	0.0733333333333333	12	"Moving"	19.75
"Batch14_DGRP"	"CS"	40	0.0683333333333333	12	"Moving"	20.25
"Batch14_DGRP"	"CS"	41	0.0827777777777778	12	"Moving"	20.75
"Batch14_DGRP"	"CS"	42	0.134444444444444	12	"Moving"	21.25
"Batch14_DGRP"	"CS"	43	0.205	12	"Moving"	21.75
"Batch14_DGRP"	"CS"	44	0.277777777777778	12	"Moving"	22.25
"Batch14_DGRP"	"CS"	45	0.33	12	"Moving"	22.75
"Batch14_DGRP"	"CS"	46	0.17	12	"Moving"	23.25
"Batch14_DGRP"	"CS"	47	0.113333333333333	12	"Moving"	23.75
"Batch15_DGRP"	"CS"	0	0.282	30	"Moving"	0.25
"Batch15_DGRP"	"CS"	1	0.295555555555556	30	"Moving"	0.75
"Batch15_DGRP"	"CS"	2	0.259777777777778	30	"Moving"	1.25
"Batch15_DGRP"	"CS"	3	0.217555555555556	30	"Moving"	1.75
"Batch15_DGRP"	"CS"	4	0.213111111111111	30	"Moving"	2.25
"Batch15_DGRP"	"CS"	5	0.226	30	"Moving"	2.75
"Batch15_DGRP"	"CS"	6	0.232222222222222	30	"Moving"	3.25
"Batch15_DGRP"	"CS"	7	0.204888888888889	30	"Moving"	3.75
"Batch15_DGRP"	"CS"	8	0.221111111111111	30	"Moving"	4.25
"Batch15_DGRP"	"CS"	9	0.216222222222222	30	"Moving"	4.75
"Batch15_DGRP"	"CS"	10	0.250444444444444	30	"Moving"	5.25
"Batch15_DGRP"	"CS"	11	0.243111111111111	30	"Moving"	5.75
"Batch15_DGRP"	"CS"	12	0.267555555555556	30	"Moving"	6.25
"Batch15_DGRP"	"CS"	13	0.268222222222222	30	"Moving"	6.75
"Batch15_DGRP"	"CS"	14	0.609555555555556	30	"Moving"	7.25
"Batch15_DGRP"	"CS"	15	0.617333333333333	30	"Moving"	7.75
"Batch15_DGRP"	"CS"	16	0.608666666666667	30	"Moving"	8.25
"Batch15_DGRP"	"CS"	17	0.648444444444445	30	"Moving"	8.75
"Batch15_DGRP"	"CS"	18	0.672	30	"Moving"	9.25
"Batch15_DGRP"	"CS"	19	0.700222222222222	30	"Moving"	9.75
"Batch15_DGRP"	"CS"	20	0.667333333333333	30	"Moving"	10.25
"Batch15_DGRP"	"CS"	21	0.553333333333333	30	"Moving"	10.75
"Batch15_DGRP"	"CS"	22	0.334222222222222	30	"Moving"	11.25
"Batch15_DGRP"	"CS"	23	0.195333333333333	30	"Moving"	11.75
"Batch15_DGRP"	"CS"	24	0.114888888888889	30	"Moving"	12.25
"Batch15_DGRP"	"CS"	25	0.0526666666666667	30	"Moving"	12.75
"Batch15_DGRP"	"CS"	26	0.0391111111111111	30	"Moving"	13.25
"Batch15_DGRP"	"CS"	27	0.0411111111111111	30	"Moving"	13.75
"Batch15_DGRP"	"CS"	28	0.0406666666666667	30	"Moving"	14.25
"Batch15_DGRP"	"CS"	29	0.0528888888888889	30	"Moving"	14.75
"Batch15_DGRP"	"CS"	30	0.0384444444444445	30	"Moving"	15.25
"Batch15_DGRP"	"CS"	31	0.0462222222222222	30	"Moving"	15.75
"Batch15_DGRP"	"CS"	32	0.0542222222222222	30	"Moving"	16.25
"Batch15_DGRP"	"CS"	33	0.0571111111111111	30	"Moving"	16.75
"Batch15_DGRP"	"CS"	34	0.0602222222222222	30	"Moving"	17.25
"Batch15_DGRP"	"CS"	35	0.0788888888888889	30	"Moving"	17.75
"Batch15_DGRP"	"CS"	36	0.0744444444444444	30	"Moving"	18.25
"Batch15_DGRP"	"CS"	37	0.0788888888888889	30	"Moving"	18.75
"Batch15_DGRP"	"CS"	38	0.100666666666667	30	"Moving"	19.25
"Batch15_DGRP"	"CS"	39	0.115333333333333	30	"Moving"	19.75
"Batch15_DGRP"	"CS"	40	0.122666666666667	30	"Moving"	20.25
"Batch15_DGRP"	"CS"	41	0.148222222222222	30	"Moving"	20.75
"Batch15_DGRP"	"CS"	42	0.2	30	"Moving"	21.25
"Batch15_DGRP"	"CS"	43	0.275333333333333	30	"Moving"	21.75
"Batch15_DGRP"	"CS"	44	0.344666666666667	30	"Moving"	22.25
"Batch15_DGRP"	"CS"	45	0.401777777777778	30	"Moving"	22.75
"Batch15_DGRP"	"CS"	46	0.364666666666667	30	"Moving"	23.25
"Batch15_DGRP"	"CS"	47	0.299777777777778	30	"Moving"	23.75
"Batch16_DGRP"	"CS"	0	0.281449275362319	23	"Moving"	0.25
"Batch16_DGRP"	"CS"	1	0.256811594202899	23	"Moving"	0.75
"Batch16_DGRP"	"CS"	2	0.240579710144928	23	"Moving"	1.25
"Batch16_DGRP"	"CS"	3	0.214782608695652	23	"Moving"	1.75
"Batch16_DGRP"	"CS"	4	0.190144927536232	23	"Moving"	2.25
"Batch16_DGRP"	"CS"	5	0.197101449275362	23	"Moving"	2.75
"Batch16_DGRP"	"CS"	6	0.178260869565217	23	"Moving"	3.25
"Batch16_DGRP"	"CS"	7	0.176811594202899	23	"Moving"	3.75
"Batch16_DGRP"	"CS"	8	0.149855072463768	23	"Moving"	4.25
"Batch16_DGRP"	"CS"	9	0.178550724637681	23	"Moving"	4.75
"Batch16_DGRP"	"CS"	10	0.180869565217391	23	"Moving"	5.25
"Batch16_DGRP"	"CS"	11	0.18463768115942	23	"Moving"	5.75
"Batch16_DGRP"	"CS"	12	0.185797101449275	23	"Moving"	6.25
"Batch16_DGRP"	"CS"	13	0.18695652173913	23	"Moving"	6.75
"Batch16_DGRP"	"CS"	14	0.481449275362319	23	"Moving"	7.25
"Batch16_DGRP"	"CS"	15	0.566086956521739	23	"Moving"	7.75
"Batch16_DGRP"	"CS"	16	0.610434782608696	23	"Moving"	8.25
"Batch16_DGRP"	"CS"	17	0.620289855072464	23	"Moving"	8.75
"Batch16_DGRP"	"CS"	18	0.652173913043478	23	"Moving"	9.25
"Batch16_DGRP"	"CS"	19	0.627246376811594	23	"Moving"	9.75
"Batch16_DGRP"	"CS"	20	0.603188405797101	23	"Moving"	10.25
"Batch16_DGRP"	"CS"	21	0.496811594202899	23	"Moving"	10.75
"Batch16_DGRP"	"CS"	22	0.373623188405797	23	"Moving"	11.25
"Batch16_DGRP"	"CS"	23	0.211594202898551	23	"Moving"	11.75
"Batch16_DGRP"	"CS"	24	0.123188405797101	23	"Moving"	12.25
"Batch16_DGRP"	"CS"	25	0.071304347826087	23	"Moving"	12.75
"Batch16_DGRP"	"CS"	26	0.0565217391304348	23	"Moving"	13.25
"Batch16_DGRP"	"CS"	27	0.0611594202898551	23	"Moving"	13.75
"Batch16_DGRP"	"CS"	28	0.0484057971014493	23	"Moving"	14.25
"Batch16_DGRP"	"CS"	29	0.0576811594202899	23	"Moving"	14.75
"Batch16_DGRP"	"CS"	30	0.0649275362318841	23	"Moving"	15.25
"Batch16_DGRP"	"CS"	31	0.0660869565217391	23	"Moving"	15.75
"Batch16_DGRP"	"CS"	32	0.0823188405797101	23	"Moving"	16.25
"Batch16_DGRP"	"CS"	33	0.0791304347826087	23	"Moving"	16.75
"Batch16_DGRP"	"CS"	34	0.0991304347826087	23	"Moving"	17.25
"Batch16_DGRP"	"CS"	35	0.0791304347826087	23	"Moving"	17.75
"Batch16_DGRP"	"CS"	36	0.0794202898550725	23	"Moving"	18.25
"Batch16_DGRP"	"CS"	37	0.0997101449275362	23	"Moving"	18.75
"Batch16_DGRP"	"CS"	38	0.124057971014493	23	"Moving"	19.25
"Batch16_DGRP"	"CS"	39	0.15768115942029	23	"Moving"	19.75
"Batch16_DGRP"	"CS"	40	0.151304347826087	23	"Moving"	20.25
"Batch16_DGRP"	"CS"	41	0.174202898550725	23	"Moving"	20.75
"Batch16_DGRP"	"CS"	42	0.284347826086957	23	"Moving"	21.25
"Batch16_DGRP"	"CS"	43	0.368405797101449	23	"Moving"	21.75
"Batch16_DGRP"	"CS"	44	0.408985507246377	23	"Moving"	22.25
"Batch16_DGRP"	"CS"	45	0.43304347826087	23	"Moving"	22.75
"Batch16_DGRP"	"CS"	46	0.326376811594203	23	"Moving"	23.25
"Batch16_DGRP"	"CS"	47	0.250434782608696	23	"Moving"	23.75
"Batch18_DGRP"	"CS"	0	0.152063492063492	21	"Moving"	0.25
"Batch18_DGRP"	"CS"	1	0.177460317460317	21	"Moving"	0.75
"Batch18_DGRP"	"CS"	2	0.157142857142857	21	"Moving"	1.25
"Batch18_DGRP"	"CS"	3	0.132698412698413	21	"Moving"	1.75
"Batch18_DGRP"	"CS"	4	0.114285714285714	21	"Moving"	2.25
"Batch18_DGRP"	"CS"	5	0.104761904761905	21	"Moving"	2.75
"Batch18_DGRP"	"CS"	6	0.080952380952381	21	"Moving"	3.25
"Batch18_DGRP"	"CS"	7	0.0736507936507937	21	"Moving"	3.75
"Batch18_DGRP"	"CS"	8	0.0904761904761905	21	"Moving"	4.25
"Batch18_DGRP"	"CS"	9	0.086984126984127	21	"Moving"	4.75
"Batch18_DGRP"	"CS"	10	0.0768253968253968	21	"Moving"	5.25
"Batch18_DGRP"	"CS"	11	0.0961904761904762	21	"Moving"	5.75
"Batch18_DGRP"	"CS"	12	0.0825396825396825	21	"Moving"	6.25
"Batch18_DGRP"	"CS"	13	0.0882539682539683	21	"Moving"	6.75
"Batch18_DGRP"	"CS"	14	0.527936507936508	21	"Moving"	7.25
"Batch18_DGRP"	"CS"	15	0.635555555555556	21	"Moving"	7.75
"Batch18_DGRP"	"CS"	16	0.626349206349206	21	"Moving"	8.25
"Batch18_DGRP"	"CS"	17	0.641269841269841	21	"Moving"	8.75
"Batch18_DGRP"	"CS"	18	0.663174603174603	21	"Moving"	9.25
"Batch18_DGRP"	"CS"	19	0.681587301587302	21	"Moving"	9.75
"Batch18_DGRP"	"CS"	20	0.62	21	"Moving"	10.25
