Genotype	Batch	slot	value	n_flies	signal	zt	nb	n	label
"CS"	"Batch12_DGRP"	4	0.183333333333333	30	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	5	0.183333333333333	30	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	6	0.203333333333333	30	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	7	0.182222222222222	30	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	8	0.187111111111111	30	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	9	0.174888888888889	30	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	10	0.171111111111111	30	"moving"	5.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	11	0.172	30	"moving"	5.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	12	0.159333333333333	30	"moving"	6.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	13	0.190666666666667	30	"moving"	6.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	14	0.186	30	"moving"	7.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	15	0.204222222222222	30	"moving"	7.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	16	0.654222222222222	30	"moving"	8.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	17	0.682	30	"moving"	8.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	18	0.606666666666667	30	"moving"	9.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	19	0.597333333333333	30	"moving"	9.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	20	0.618444444444445	30	"moving"	10.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	21	0.613333333333333	30	"moving"	10.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	22	0.582	30	"moving"	11.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	23	0.503555555555556	30	"moving"	11.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	24	0.403777777777778	30	"moving"	12.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	25	0.288222222222222	30	"moving"	12.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	26	0.195777777777778	30	"moving"	13.25	22	577	"CS
n = 577 flies, 22 batches"
