trait	rank	n	expected	observed	low	high
"NightSleepChange"	185	1428812	3.88897871852412	3.75200955848983	3.8274313988839	3.95275277601224
"NightSleepChange"	186	1428812	3.88663117506814	3.75090197010495	3.82524700188653	3.95023010332672
"NightSleepChange"	187	1428812	3.8842962528745	3.74982161069482	3.82307392825393	3.94772147811033
"NightSleepChange"	188	1428812	3.88197381695547	3.74863923270277	3.82091206015721	3.94522674616662
"NightSleepChange"	189	1428812	3.87966373447739	3.74744549741605	3.8187612816052	3.942745755813
"NightSleepChange"	190	1428812	3.87736587471511	3.74385014174723	3.81662147840634	3.94027835782653
"NightSleepChange"	191	1428812	3.87508010900757	3.74235981750017	3.81449253813156	3.93782440539119
"NightSleepChange"	192	1428812	3.87280631071456	3.74021505446693	3.81237435007809	3.9353837540465
"NightSleepChange"	193	1428812	3.87054435517468	3.73951360575088	3.81026680523419	3.93295626163757
"NightSleepChange"	194	1428812	3.86829411966427	3.73858961512456	3.80816979624479	3.9305417882664
"NightSleepChange"	195	1428812	3.86605548335748	3.73821153661018	3.806083217378	3.92814019624451
"NightSleepChange"	196	1428812	3.86382832728732	3.73761773834612	3.80400696449249	3.92575135004676
"NightSleepChange"	197	1428812	3.86161253430776	3.73704845481727	3.80194093500562	3.9233751162664
"NightSleepChange"	198	1428812	3.85940798905673	3.7323191544394	3.79988502786243	3.92101136357128
"NightSleepChange"	199	1428812	3.85721457792007	3.72864870294513	3.79783914350536	3.91865996266112
"NightSleepChange"	200	1428812	3.85503218899644	3.72780552743643	3.79580318384476	3.91632078622599
"NightSleepChange"	201	1428812	3.852860712063	3.72514506721461	3.79377705223005	3.91399370890573
"NightSleepChange"	203	1428812	3.84855006146852	3.72446752260797	3.78975389356372	3.90937535968206
"NightSleepChange"	205	1428812	3.84428177667584	3.71725783273359	3.78576892203334	3.90480394962786
"NightSleepChange"	206	1428812	3.84216326280712	3.7160274910793	3.78379052932957	3.90253555301134
"NightSleepChange"	208	1428812	3.83795698797109	3.71503941182809	3.77986148710751	3.89803280427879
"NightSleepChange"	210	1428812	3.83379106171689	3.71120992048941	3.77596885976213	3.8935747047193
"NightSleepChange"	212	1428812	3.82966471730814	3.71116525193549	3.7721119729179	3.88916038484128
"NightSleepChange"	214	1428812	3.82557720965816	3.70847575499193	3.76829017083749	3.88478900020332
"NightSleepChange"	216	1428812	3.82152781452245	3.70641648650388	3.7645028157394	3.88045973046349
"NightSleepChange"	218	1428812	3.81751582772855	3.70489052461246	3.76074928714675	3.87617177847321
"NightSleepChange"	220	1428812	3.81354056444106	3.70131718293771	3.75702898126522	3.87192436941333
"NightSleepChange"	222	1428812	3.80960135846012	3.70086984918402	3.75334131038885	3.86771674996989
"NightSleepChange"	224	1428812	3.80569756155125	3.6976301034693	3.74968570233208	3.86354818754759
"NightSleepChange"	226	1428812	3.80182854280522	3.6931719626442	3.74606159988666	3.85941796951873
"NightSleepChange"	228	1428812	3.79799368802607	3.6904975850333	3.74246846030215	3.85532540250595
"NightSleepChange"	230	1428812	3.79419239914592	3.68920263934108	3.73890575478882	3.85126981169669
"NightSleepChange"	232	1428812	3.79042409366523	3.68763432080616	3.73537296804174	3.84725054018798
"NightSleepChange"	234	1428812	3.78668820411707	3.68596626173263	3.73186959778502	3.84326694835973
"NightSleepChange"	236	1428812	3.78298417755429	3.67969374012581	3.72839515433516	3.83931841327517
"NightSleepChange"	238	1428812	3.77931147505832	3.6717080798851	3.72494916018262	3.83540432810713
"NightSleepChange"	240	1428812	3.77566957126862	3.66856055555176	3.72153114959061	3.83152410158853
"NightSleepChange"	242	1428812	3.77205795393167	3.666643422916	3.7181406682103	3.82767715748626
"NightSleepChange"	244	1428812	3.76847612346855	3.66598076062309	3.71477727271167	3.82386293409697
"NightSleepChange"	247	1428812	3.76315816540596	3.66081697001936	3.70978202186823	3.81820175607684
"NightSleepChange"	249	1428812	3.75964869594985	3.65652641460626	3.7064844706572	3.81446696806219
"NightSleepChange"	251	1428812	3.75616735881594	3.65399342547623	3.70321253545674	3.8107630424203
"NightSleepChange"	253	1428812	3.75271370656452	3.65391903383555	3.69996581833542	3.80708947712988
"NightSleepChange"	255	1428812	3.74928730234643	3.65120075119702	3.69674393059773	3.80344578227407
"NightSleepChange"	258	1428812	3.74419785564199	3.64930047263639	3.69195682577591	3.79803520411118
"NightSleepChange"	260	1428812	3.74083772683473	3.64269991517552	3.68879536902906	3.79446411795651
"NightSleepChange"	262	1428812	3.73750339581591	3.64072054280537	3.68565744995662	3.79092127742432
"NightSleepChange"	265	1428812	3.732549412648	3.64019486243946	3.68099393990902	3.78565901745537
"NightSleepChange"	267	1428812	3.72927787565661	3.63816454781487	3.67791334858657	3.78218488812688
"NightSleepChange"	269	1428812	3.72603079898363	3.6359163805628	3.67485510181371	3.7787375082127
"NightSleepChange"	272	1428812	3.72120525509434	3.63431363277454	3.67030892044996	3.77361570840406
