phenotype	min_n	lines	repeated_lines	pairs	symmetric_rho
"FragmentationLight__D6_D1"	12	167	55	72	0.30711446405389
"FragmentationLight__D6_D1"	16	162	31	39	0.0321878912820772
"FragmentationLight__Late2_Early2"	8	168	66	94	0.249489097895436
"FragmentationLight__Late2_Early2"	12	166	55	72	0.261198618987713
"FragmentationLight__Late2_Early2"	16	161	30	38	-0.0322404222155378
"MovingLight__State_D2_D6"	8	176	67	95	0.69774351105236
"MovingLight__State_D2_D6"	12	176	55	72	0.695376589134201
"MovingLight__State_D2_D6"	16	173	34	45	0.675075747595837
"MovingLight__D6_D1"	8	169	66	94	0.588277526869194
"MovingLight__D6_D1"	12	169	55	72	0.629289693481354
"MovingLight__D6_D1"	16	166	34	45	0.719027113368958
"MovingLight__Late2_Early2"	8	169	66	94	0.560863035706061
"MovingLight__Late2_Early2"	12	169	55	72	0.61841161256353
"MovingLight__Late2_Early2"	16	166	34	45	0.693683309181926
"MovingDark__State_D2_D6"	8	176	67	95	0.776983137589397
"MovingDark__State_D2_D6"	12	176	55	72	0.730478994383095
"MovingDark__State_D2_D6"	16	173	34	45	0.731006092540754
"MovingDark__D6_D1"	8	176	67	95	0.559500636452314
"MovingDark__D6_D1"	12	176	55	72	0.592845515384152
"MovingDark__D6_D1"	16	173	34	45	0.666315338756958
"MovingDark__Late2_Early2"	8	176	67	95	0.547840943985009
"MovingDark__Late2_Early2"	12	176	55	72	0.557422051627295
"MovingDark__Late2_Early2"	16	173	34	45	0.666348315069283
"Harmonic24Amplitude__State_D2_D6"	8	176	67	95	0.612620683139179
"Harmonic24Amplitude__State_D2_D6"	12	176	55	72	0.560720730859354
"Harmonic24Amplitude__State_D2_D6"	16	173	34	45	0.39064712662605
"Harmonic24Amplitude__D6_D1"	8	169	66	94	0.250215152322426
"Harmonic24Amplitude__D6_D1"	12	169	55	72	0.281680687129978
"Harmonic24Amplitude__D6_D1"	16	166	34	45	0.232076403754322
"Harmonic24Amplitude__Late2_Early2"	8	169	66	94	0.306807663305805
"Harmonic24Amplitude__Late2_Early2"	12	169	55	72	0.336342407446855
"Harmonic24Amplitude__Late2_Early2"	16	166	34	45	0.293989790877655
"Harmonic12Amplitude__State_D2_D6"	8	176	67	95	0.599809636454619
"Harmonic12Amplitude__State_D2_D6"	12	176	55	72	0.576765553470014
"Harmonic12Amplitude__State_D2_D6"	16	173	34	45	0.547406553597892
"Harmonic12Amplitude__D6_D1"	8	169	66	94	0.499125393392363
"Harmonic12Amplitude__D6_D1"	12	169	55	72	0.488928992013762
"Harmonic12Amplitude__D6_D1"	16	166	34	45	0.470014819693726
"Harmonic12Amplitude__Late2_Early2"	8	169	66	94	0.525519819750667
"Harmonic12Amplitude__Late2_Early2"	12	169	55	72	0.469499965836425
"Harmonic12Amplitude__Late2_Early2"	16	166	34	45	0.5301498435699
"TwoHarmonicR2__State_D2_D6"	8	176	67	95	0.652530540401513
"TwoHarmonicR2__State_D2_D6"	12	176	55	72	0.603654296772949
