model	PC	zt	loading	centre	score_sd	variance_fraction
"moving_centered_shape"	"PC2"	18.25	0.184028489293525	-0.064247559943204	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	18.75	0.19512138291106	-0.049603935239934	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	19.25	0.206065487545352	-0.030453937459213	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	19.75	0.21900008409846	-0.00910185699023978	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	20.25	0.239960934602167	0.0189883743636938	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	20.75	0.260145034586899	0.0493720292505185	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	21.25	0.248400798293749	0.0704051604686533	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	21.75	0.217710729635458	0.086726100231759	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	22.25	0.160395247748052	0.096313431917317	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	22.75	0.0975024085942525	0.104002592122562	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	23.25	-0.0373113569466981	0.0964712122724338	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	23.75	-0.0980185892932057	0.0820398291422305	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC3"	0.25	-0.069416373036457	0.0440830560882034	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	0.75	-0.0647439312719558	0.00560578108399145	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	1.25	-0.0186314047659339	-0.0118215946379246	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	1.75	-0.0230624146627209	-0.0398085419075002	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	2.25	-0.00138290909481442	-0.0582677730008886	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	2.75	-0.00482226021227072	-0.0720451767631128	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	3.25	0.0188270194165908	-0.0851029115190052	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	3.75	0.019707402483353	-0.0886267372859714	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	4.25	0.0183830821982418	-0.0882162587231131	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	4.75	0.0266722066198675	-0.0799948582351569	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	5.25	0.0518808542035031	-0.0654085918698844	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	5.75	0.0730744430268077	-0.0485543031153153	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	6.25	0.0940951954279414	-0.0271172111564927	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	6.75	0.0931094434181484	-0.00395639839424468	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	7.25	0.181705055015914	0.118510233406169	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	7.75	0.316962584334719	0.140069848266023	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	8.25	0.344989561056827	0.269839772924122	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	8.75	0.321268918487212	0.259469662171848	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	9.25	0.228232518993205	0.26925966893682	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	9.75	0.0805828069702088	0.218284542812042	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	10.25	-0.071633369335398	0.145226622504464	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	10.75	-0.182707144812451	0.0774691405306989	0.326427309899572	0.13358353058036
"moving_centered_shape"	"PC3"	11.25	-0.25870682899351	0.0106870376164378	0.326427309899572	0.13358353058036
