phenotype	eligible_lines	eligible_line_batches	valid_fly_fraction	repeated_lines	batch_pairs	repeatability_rho	rho_ci_low	rho_ci_high	traditional_pair_rho	max_LOO_rho_change	raw_batchFE_rho	batchFE_available	CS_batches	CS_sd_vs_DGRP_sd	conditional_line_variance_fraction	mixed_model_singular	min8_min16_line_rho	min16_lines	raw_sd	metric	contrast	family	unit	definition	aggregation	eligibility	selection_class	review_status
"Harmonic24Amplitude__State_D2_D6"	176	256	1	67	95	0.612620683139179	0.418176429193243	0.749956076705548	0.616770847187126	0.0355018464235926	0.916585956416465	TRUE	22	0.530750175694263	0.623169033354815	FALSE	0.986295432737993	173	0.0558459737197584	"Harmonic24Amplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"24-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"Harmonic12Amplitude__State_D2_D6"	176	256	1	67	95	0.599809636454619	0.353619820796041	0.730606039969929	0.615174890277962	0.0538221443545131	0.916046665199208	TRUE	22	0.636397381901447	0.677084939328767	FALSE	0.973791434703404	173	0.0617359527003078	"Harmonic12Amplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"12-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"EveningPeakAmplitude__State_D2_D6"	176	256	1	67	95	0.595999653558765	0.359563444100107	0.753843595977196	0.623704574840921	0.0407811327248498	0.942786782885819	TRUE	22	0.451128718057202	0.561677519926659	FALSE	0.96721154743179	173	0.132579660555482	"EveningPeakAmplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Max-minus-min within ZT5-11"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"LDIntradailyVariability__State_D2_D6"	176	256	1	67	95	0.595505460704275	0.387130002564554	0.713084833508829	0.606677119717768	0.0362489270544856	0.904631300902487	TRUE	22	0.35166519655914	0.728412946026127	FALSE	0.977993426999365	173	0.243767865394484	"LDIntradailyVariability"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Mean squared successive 30-min difference / population variance, D2-D6"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"	"priority candidate"
"FragmentationLight__State_D2_D6"	175	255	0.944605009633911	67	95	0.593717303136449	0.34293336835481	0.746729928141968	0.679391156438776	0.0696376143748233	0.925463502015226	TRUE	22	0.604002093776584	0.714436292933302	FALSE	0.96646551990683	167	0.301318313585336	"FragmentationLight"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT0-8; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_sleep_change_PC1"	169	248	0.964675658317277	66	94	0.591587160395718	0.390311257965675	0.734854951513036	0.590410850024567	0.0421550945623533	0.893737258216896	TRUE	21	0.785795957020899	0.782215489044702	FALSE	0.980276905116383	166	0.591308623336072	"PCA_sleep_change_PC1"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 1 of sleep change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"MovingLight__D6_D1"	169	248	0.964675658317277	66	94	0.588277526869194	0.381625464544538	0.750653620129316	0.586243153026537	0.0386653545327964	0.888536950000237	TRUE	21	0.613618244729	0.666076621178837	FALSE	0.984232757038389	166	0.0956471595823678	"MovingLight"	"D6_D1"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_moving_change_PC1"	169	248	0.964675658317277	66	94	0.588151947659061	0.366146684895543	0.725329299775143	0.581653371484725	0.059939628564057	0.876791308239272	TRUE	21	0.705859267682761	0.746663151848353	FALSE	0.979586937843918	166	0.458250942158661	"PCA_moving_change_PC1"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 1 of moving change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"ActivityLight__State_D2_D6"	176	256	1	67	95	0.586788629977359	0.394944986862943	0.736075604948835	0.595778413982822	0.0769408010387427	0.921404358353511	TRUE	22	0.888889633679704	0.704244341791563	FALSE	0.974600312426123	173	0.166322528708221	"ActivityLight"	"State_D2_D6"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_moving_centered_shape_PC1"	176	256	1	67	95	0.578404235588885	0.385527352524494	0.704691337179916	0.622531691644326	0.0391522484269334	0.866152322254017	TRUE	22	0.76826661017967	0.715778829481451	FALSE	0.984327704409658	173	0.493234510233544	"PCA_moving_centered_shape_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of moving centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"TotalSleep__D6_D1"	169	248	0.964675658317277	66	94	0.577548876974247	0.388099007457904	0.738782875053583	0.594059370725867	0.0502057139691847	0.888353385711075	TRUE	21	0.718604213382479	0.757621042329224	FALSE	0.983416333649019	166	153.748909700146	"TotalSleep"	"D6_D1"	"sleep_amount_allocation"	"minutes"	"24-hour sleep minutes; window coverage >=95%"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"SiestaMoving__D6_D1"	169	248	0.964675658317277	66	94	0.571878826848537	0.402185152329487	0.709718288155672	0.575830710956901	0.0358296623816898	0.901789649002468	TRUE	21	0.608034019650246	0.622696919641372	FALSE	0.983520959413495	166	0.10307326485114	"SiestaMoving"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_moving_raw_PC2"	176	256	1	67	95	0.571262103307217	0.311299870499101	0.728705541000626	0.610961004052891	0.0604278106376801	0.860823244552058	TRUE	22	0.776099290498074	0.757530342865999	FALSE	0.98350260277846	173	0.472015450276605	"PCA_moving_raw_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of moving raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"DarkSleep__D6_D1"	176	256	1	67	95	0.564196108382961	0.337708987892817	0.719194077400459	0.56763293500818	0.0420158749007347	0.881335654961149	TRUE	22	0.686505511902125	0.734240010189544	FALSE	0.982650365048094	173	103.704753690228	"DarkSleep"	"D6_D1"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"MovingLight__Late2_Early2"	169	248	0.964675658317277	66	94	0.560863035706061	0.395850516606986	0.697924558543789	0.559356325840331	0.0384710391539699	0.856160449906803	TRUE	21	0.662277830996497	0.552577456558533	FALSE	0.976339592275512	166	0.0736995827790395	"MovingLight"	"Late2_Early2"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"MovingDark__D6_D1"	176	256	1	67	95	0.559500636452314	0.354122198750152	0.700023837335445	0.571671579372209	0.052137994412905	0.899180986899979	TRUE	22	0.596308996208736	0.677493918915441	FALSE	0.988114676685008	173	0.0854909558666495	"MovingDark"	"D6_D1"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_sleep_raw_PC3"	176	256	1	67	95	0.554349842005256	0.340716307338511	0.718427504465688	0.609596040906895	0.0425386060155666	0.933114681928241	TRUE	22	0.53125445147617	0.796878718196506	FALSE	0.976873977314341	173	0.49688075486275	"PCA_sleep_raw_PC3"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 3 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"MovingDark__Late2_Early2"	176	256	1	67	95	0.547840943985009	0.328653282338697	0.703521473858769	0.557442802224492	0.0435511304018995	0.879763239889637	TRUE	22	0.682988594732877	0.60817780431482	FALSE	0.98270409458174	173	0.0702132442187912	"MovingDark"	"Late2_Early2"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"SiestaMoving__Late2_Early2"	169	248	0.964675658317277	66	94	0.543462063322475	0.366191971376734	0.686169553380069	0.513316045400404	0.0367930606715973	0.824566528609113	TRUE	21	0.585530008443053	0.507678052874115	FALSE	0.982763064780274	166	0.0813513854945789	"SiestaMoving"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_sleep_centered_shape_PC2"	176	256	1	67	95	0.542291151244537	0.360681642233572	0.731148582087226	0.569872113452937	0.0449130876630601	0.923273167510456	TRUE	22	0.499071343813551	0.786631755656143	FALSE	0.978255327236234	173	0.510555713522537	"PCA_sleep_centered_shape_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of sleep centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"DarkCoreMoving__D6_D1"	176	256	1	67	95	0.536617927916342	0.315847668936234	0.70749616472935	0.545949655271066	0.046173480792277	0.906329604328989	TRUE	22	0.497895171068289	0.683366004684458	FALSE	0.980369411304005	173	0.0893509443174279	"DarkCoreMoving"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
