model	PC	variance_fraction	n_training_lines	n_projected_flies
"sleep_centered_shape"	2	0.221254686426624	176	6228
"sleep_centered_shape"	3	0.126324748354375	176	6228
"sleep_centered_shape"	4	0.0878978604893015	176	6228
"sleep_centered_shape"	5	0.0439173921963542	176	6228
"sleep_centered_shape"	6	0.0432268110648411	176	6228
"sleep_centered_shape"	7	0.0255505925040204	176	6228
"sleep_centered_shape"	8	0.0210893116236952	176	6228
"sleep_centered_shape"	9	0.0159749058914732	176	6228
"sleep_centered_shape"	10	0.0104317390666004	176	6228
"sleep_centered_shape"	11	0.00664217720441688	176	6228
"sleep_centered_shape"	12	0.00573044618089208	176	6228
"sleep_centered_shape"	13	0.00505444742170471	176	6228
"sleep_centered_shape"	14	0.00272519846716352	176	6228
"sleep_centered_shape"	15	0.00233441405657972	176	6228
"sleep_centered_shape"	16	0.0016467360334592	176	6228
"sleep_centered_shape"	17	0.00143825277487788	176	6228
"sleep_centered_shape"	18	0.00130637777308955	176	6228
"sleep_centered_shape"	19	0.00111025987868718	176	6228
"sleep_centered_shape"	20	0.000890703744038289	176	6228
"sleep_centered_shape"	21	0.000838448611008398	176	6228
"sleep_centered_shape"	22	0.000763573977406576	176	6228
"sleep_centered_shape"	23	0.000721242763830842	176	6228
"sleep_centered_shape"	24	0.00063039611561931	176	6228
"sleep_centered_shape"	25	0.000581858873853213	176	6228
"sleep_centered_shape"	26	0.000457103160620084	176	6228
"sleep_centered_shape"	27	0.000437227605355717	176	6228
"sleep_centered_shape"	28	0.000404752930509006	176	6228
"sleep_centered_shape"	29	0.000358176307115076	176	6228
"sleep_centered_shape"	30	0.000299363645183532	176	6228
"sleep_centered_shape"	31	0.00028674075763538	176	6228
"sleep_centered_shape"	32	0.000266882065713448	176	6228
"sleep_centered_shape"	33	0.000252094223629607	176	6228
"sleep_centered_shape"	34	0.000238014699597304	176	6228
"sleep_centered_shape"	35	0.00022482348051413	176	6228
"sleep_centered_shape"	36	0.000216370668807967	176	6228
"sleep_centered_shape"	37	0.00019445925818608	176	6228
"sleep_centered_shape"	38	0.000184446004272226	176	6228
"sleep_centered_shape"	39	0.00015649644381052	176	6228
"sleep_centered_shape"	40	0.000150559400539889	176	6228
"sleep_centered_shape"	41	0.000137559422727005	176	6228
"sleep_centered_shape"	42	0.00012413274726603	176	6228
"sleep_centered_shape"	43	0.000104288252653671	176	6228
"sleep_centered_shape"	44	0.00010068990672301	176	6228
"sleep_centered_shape"	45	9.10965142650248e-05	176	6228
"sleep_centered_shape"	46	8.06488030845873e-05	176	6228
"sleep_centered_shape"	47	7.45656886818674e-05	176	6228
"sleep_centered_shape"	48	2.32039045824627e-32	176	6228
"sleep_change"	1	0.404331370146141	169	6008
"sleep_change"	2	0.141801567428367	169	6008
"sleep_change"	3	0.0920813708052484	169	6008
"sleep_change"	4	0.0680867723751013	169	6008
"sleep_change"	5	0.0477131511322419	169	6008
"sleep_change"	6	0.0331993792951507	169	6008
"sleep_change"	7	0.0271911130057752	169	6008
"sleep_change"	8	0.0240271033044812	169	6008
"sleep_change"	9	0.0198442405190569	169	6008
"sleep_change"	10	0.015550779881823	169	6008
"sleep_change"	11	0.0138837893347808	169	6008
"sleep_change"	12	0.0128769864844677	169	6008
"sleep_change"	13	0.0123599870289869	169	6008
"sleep_change"	14	0.00974879934842457	169	6008
"sleep_change"	15	0.00839387606297093	169	6008
"sleep_change"	16	0.00711010746487934	169	6008
"sleep_change"	17	0.00581975418523272	169	6008
"sleep_change"	18	0.00520958669491694	169	6008
"sleep_change"	19	0.00466318727126054	169	6008
"sleep_change"	20	0.00372605928045525	169	6008
"sleep_change"	21	0.00367157153561818	169	6008
"sleep_change"	22	0.00343870937994275	169	6008
"sleep_change"	23	0.00287747291468509	169	6008
"sleep_change"	24	0.00266554861622463	169	6008
"sleep_change"	25	0.00257368536861522	169	6008
"sleep_change"	26	0.00230290252832086	169	6008
"sleep_change"	27	0.00213415684463852	169	6008
"sleep_change"	28	0.00207661130000166	169	6008
"sleep_change"	29	0.00188824918235877	169	6008
"sleep_change"	30	0.00170458063702721	169	6008
"sleep_change"	31	0.00159015871807398	169	6008
"sleep_change"	32	0.00149555547299639	169	6008
"sleep_change"	33	0.00142146776574867	169	6008
"sleep_change"	34	0.00132213123111492	169	6008
"sleep_change"	35	0.00126120789301361	169	6008
"sleep_change"	36	0.00115620055064201	169	6008
"sleep_change"	37	0.00106202286000042	169	6008
"sleep_change"	38	0.00101015658934513	169	6008
"sleep_change"	39	0.000932104974401048	169	6008
"sleep_change"	40	0.000871817219485174	169	6008
"sleep_change"	41	0.000803104781833323	169	6008
"sleep_change"	42	0.000765803444962848	169	6008
"sleep_change"	43	0.000697022410635828	169	6008
"sleep_change"	44	0.000612226715446573	169	6008
"sleep_change"	45	0.000599653071789724	169	6008
"sleep_change"	46	0.000553601509217041	169	6008
"sleep_change"	47	0.000491616460714582	169	6008
"sleep_change"	48	0.000401678973384543	169	6008
