PCA_phenotype	comparison_phenotype	rho	paired_lines
"PCA_moving_centered_shape_PC2"	"DuskResponse__State_D2_D6"	-0.0861490678786548	176
"PCA_moving_centered_shape_PC2"	"EveningPeakAmplitude__State_D2_D6"	-0.0867444419986793	176
"PCA_moving_centered_shape_PC2"	"DuskAnticipation__Late2_Early2"	-0.0928555968957094	167
"PCA_moving_centered_shape_PC2"	"EveningPeakAmplitude__Late2_Early2"	-0.0988215404504997	169
"PCA_moving_centered_shape_PC2"	"WakingActivityDark__D6_D1"	-0.106346026854501	176
"PCA_moving_centered_shape_PC2"	"WakingActivityDark__Late2_Early2"	-0.113539511336122	176
"PCA_moving_centered_shape_PC2"	"TotalSleep__State_D2_D6"	-0.118058551617874	176
"PCA_moving_centered_shape_PC2"	"DarkSleep__Late2_Early2"	-0.121730134272507	176
"PCA_moving_centered_shape_PC2"	"EveningPeakAmplitude__D6_D1"	-0.123937148824027	169
"PCA_moving_centered_shape_PC2"	"ActivityLight__State_D2_D6"	-0.125168390931103	176
"PCA_moving_centered_shape_PC2"	"DawnResponse__State_D2_D6"	-0.128875263523717	176
"PCA_moving_centered_shape_PC2"	"TotalSleep__Late2_Early2"	-0.130796578986624	169
"PCA_moving_centered_shape_PC2"	"DuskAnticipation__D6_D1"	-0.131468255374289	168
"PCA_moving_centered_shape_PC2"	"LightSleep__D6_D1"	-0.132141614042067	169
"PCA_moving_centered_shape_PC2"	"LightSleep__Late2_Early2"	-0.13373278305405	169
"PCA_moving_centered_shape_PC2"	"ActivityContrast__D6_D1"	-0.143809358062752	169
"PCA_moving_centered_shape_PC2"	"DarkSleep__D6_D1"	-0.157369579572969	176
"PCA_moving_centered_shape_PC2"	"DawnAnticipation__Late2_Early2"	-0.162179176755448	176
"PCA_moving_centered_shape_PC2"	"SiestaMoving__State_D2_D6"	-0.16241690512877	176
"PCA_moving_centered_shape_PC2"	"TotalSleep__D6_D1"	-0.164937099099995	169
"PCA_moving_centered_shape_PC2"	"ActivityContrast__Late2_Early2"	-0.170953706926558	169
"PCA_moving_centered_shape_PC2"	"PWakeLight__State_D2_D6"	-0.174109619194365	176
"PCA_moving_centered_shape_PC2"	"Harmonic24Amplitude__D6_D1"	-0.17540649395853	169
"PCA_moving_centered_shape_PC2"	"TwoHarmonicR2__State_D2_D6"	-0.176885318071759	176
"PCA_moving_centered_shape_PC2"	"DawnAnticipation__D6_D1"	-0.182302443319392	176
"PCA_moving_centered_shape_PC2"	"MovingLight__State_D2_D6"	-0.192857142857143	176
"PCA_moving_centered_shape_PC2"	"Harmonic24Amplitude__Late2_Early2"	-0.208858336233902	169
"PCA_moving_centered_shape_PC2"	"DarkSleep__State_D2_D6"	-0.210451243671583	176
"PCA_moving_centered_shape_PC2"	"LongestBoutDark__Late2_Early2"	-0.214582874752366	176
"PCA_moving_centered_shape_PC2"	"DuskResponse__D6_D1"	-0.216656394453005	176
"PCA_moving_centered_shape_PC2"	"DuskResponse__Late2_Early2"	-0.217557900923377	176
"PCA_moving_centered_shape_PC2"	"LongestBoutDark__D6_D1"	-0.231604666519921	176
"PCA_moving_centered_shape_PC2"	"LD24hLagCorrelation__State_D2_D6"	-0.234175654853621	176
"PCA_moving_centered_shape_PC2"	"LDInterdailyStability__State_D2_D6"	-0.23469293418446	176
"PCA_moving_centered_shape_PC2"	"OddEvenProfileCorrelation__State_D2_D6"	-0.237052608408541	176
"PCA_moving_centered_shape_PC2"	"LongestBoutDark__State_D2_D6"	-0.314360554699538	176
"PCA_moving_centered_shape_PC2"	"SleepAllocation__State_D2_D6"	-0.358837772397094	176
"PCA_moving_centered_shape_PC2"	"Harmonic24Amplitude__State_D2_D6"	-0.385346687211094	176
"PCA_moving_centered_shape_PC2"	"MorningPeakOffset__State_D2_D6"	-0.533501720425543	172
"PCA_moving_centered_shape_PC2"	"DawnAnticipation__State_D2_D6"	-0.555551397754788	176
"PCA_moving_centered_shape_PC3"	"Harmonic12Amplitude__State_D2_D6"	0.33884437596302	176
"PCA_moving_centered_shape_PC3"	"EveningPeakAmplitude__State_D2_D6"	0.326596962359674	176
"PCA_moving_centered_shape_PC3"	"DuskAnticipation__State_D2_D6"	0.288004505611155	173
"PCA_moving_centered_shape_PC3"	"LDInterdailyStability__State_D2_D6"	0.276064274708343	176
"PCA_moving_centered_shape_PC3"	"LD24hLagCorrelation__State_D2_D6"	0.275535989434295	176
"PCA_moving_centered_shape_PC3"	"OddEvenProfileCorrelation__State_D2_D6"	0.269297820823245	176
"PCA_moving_centered_shape_PC3"	"DuskResponse__State_D2_D6"	0.194533455059162	176
"PCA_moving_centered_shape_PC3"	"TwoHarmonicR2__Late2_Early2"	0.189478394908259	169
"PCA_moving_centered_shape_PC3"	"LongestBoutDark__State_D2_D6"	0.169165749504733	176
"PCA_moving_centered_shape_PC3"	"SleepAllocation__State_D2_D6"	0.166812678846577	176
"PCA_moving_centered_shape_PC3"	"WakingActivityDark__State_D2_D6"	0.163198327096632	176
"PCA_moving_centered_shape_PC3"	"Harmonic24Amplitude__Late2_Early2"	0.148088110984039	169
"PCA_moving_centered_shape_PC3"	"Harmonic24Amplitude__D6_D1"	0.139637511809458	169
"PCA_moving_centered_shape_PC3"	"TwoHarmonicR2__State_D2_D6"	0.138888399735857	176
"PCA_moving_centered_shape_PC3"	"ActivityLight__State_D2_D6"	0.134173453664979	176
"PCA_moving_centered_shape_PC3"	"LongestBoutDark__Late2_Early2"	0.129548756328417	176
"PCA_moving_centered_shape_PC3"	"MovingLight__State_D2_D6"	0.108043143297381	176
"PCA_moving_centered_shape_PC3"	"TotalSleep__Late2_Early2"	0.103985381134702	169
"PCA_moving_centered_shape_PC3"	"LongestBoutDark__D6_D1"	0.100975126568347	176
"PCA_moving_centered_shape_PC3"	"TwoHarmonicR2__D6_D1"	0.0989483367311422	169
"PCA_moving_centered_shape_PC3"	"TotalSleep__D6_D1"	0.0947068768335737	169
"PCA_moving_centered_shape_PC3"	"LightSleep__D6_D1"	0.0916140420665308	169
"PCA_moving_centered_shape_PC3"	"DarkSleep__Late2_Early2"	0.0817587497248514	176
"PCA_moving_centered_shape_PC3"	"MorningPeakAmplitude__State_D2_D6"	0.0782368478978649	176
"PCA_moving_centered_shape_PC3"	"DarkSleep__D6_D1"	0.0781377944089809	176
"PCA_moving_centered_shape_PC3"	"LightSleep__Late2_Early2"	0.0723062005867436	169
"PCA_moving_centered_shape_PC3"	"ActivityDark__State_D2_D6"	0.0706163328197226	176
"PCA_moving_centered_shape_PC3"	"PDozeDark__Late2_Early2"	0.0631366938146599	176
"PCA_moving_centered_shape_PC3"	"WakingActivityDark__D6_D1"	0.0430816640986133	176
"PCA_moving_centered_shape_PC3"	"DawnAnticipation__State_D2_D6"	0.042524763372221	176
"PCA_moving_centered_shape_PC3"	"DarkCoreMoving__Late2_Early2"	0.0425181598062954	176
"PCA_moving_centered_shape_PC3"	"ActivityContrast__Late2_Early2"	0.042337526726667	169
"PCA_moving_centered_shape_PC3"	"ActivityContrast__D6_D1"	0.0417880761772165	169
"PCA_moving_centered_shape_PC3"	"DarkCoreMoving__D6_D1"	0.0344331939247193	176
"PCA_moving_centered_shape_PC3"	"SiestaMoving__State_D2_D6"	0.0313383226942549	176
"PCA_moving_centered_shape_PC3"	"DarkSleep__State_D2_D6"	0.0296302003081664	176
"PCA_moving_centered_shape_PC3"	"PWakeLight__State_D2_D6"	0.0210763812458728	176
"PCA_moving_centered_shape_PC3"	"WakingActivityDark__Late2_Early2"	0.0163768434954876	176
"PCA_moving_centered_shape_PC3"	"MovingDark__State_D2_D6"	0.0133149900946511	176
"PCA_moving_centered_shape_PC3"	"PDozeDark__D6_D1"	-0.000909090909090909	176
"PCA_moving_centered_shape_PC3"	"ActivityLight__D6_D1"	-0.00356024066431306	169
"PCA_moving_centered_shape_PC3"	"EveningPeakAmplitude__D6_D1"	-0.0154840634478644	169
"PCA_moving_centered_shape_PC3"	"PWakeLight__D6_D1"	-0.0181119785192183	169
"PCA_moving_centered_shape_PC3"	"PWakeDark__Late2_Early2"	-0.0228021131410962	176
"PCA_moving_centered_shape_PC3"	"FragmentationDark__Late2_Early2"	-0.0249284613691393	176
"PCA_moving_centered_shape_PC3"	"PWakeDark__D6_D1"	-0.0253863086066476	176
"PCA_moving_centered_shape_PC3"	"Harmonic12Amplitude__D6_D1"	-0.0259360548953309	169
"PCA_moving_centered_shape_PC3"	"DuskAnticipation__D6_D1"	-0.0267309843541995	168
"PCA_moving_centered_shape_PC3"	"TotalSleep__State_D2_D6"	-0.0273673783843275	176
"PCA_moving_centered_shape_PC3"	"SleepAllocation__D6_D1"	-0.0273879966187659	169
"PCA_moving_centered_shape_PC3"	"FragmentationDark__D6_D1"	-0.0334206471494607	176
"PCA_moving_centered_shape_PC3"	"DuskResponse__Late2_Early2"	-0.0342483129255571	176
"PCA_moving_centered_shape_PC3"	"DuskAnticipation__Late2_Early2"	-0.0353226421511538	167
"PCA_moving_centered_shape_PC3"	"SleepAllocation__Late2_Early2"	-0.043113221620009	169
"PCA_moving_centered_shape_PC3"	"PDozeLight__D6_D1"	-0.049061086089439	167
"PCA_moving_centered_shape_PC3"	"ActivityDark__D6_D1"	-0.0539863526304204	176
"PCA_moving_centered_shape_PC3"	"ActivityDark__Late2_Early2"	-0.0553202729473916	176
"PCA_moving_centered_shape_PC3"	"Harmonic24Amplitude__State_D2_D6"	-0.0578538410741801	176
"PCA_moving_centered_shape_PC3"	"MovingDark__D6_D1"	-0.0636781862205591	176
"PCA_moving_centered_shape_PC3"	"Harmonic12Amplitude__Late2_Early2"	-0.067930485803789	169
"PCA_moving_centered_shape_PC3"	"SiestaMoving__D6_D1"	-0.0707511254730915	169
"PCA_moving_centered_shape_PC3"	"FragmentationLight__State_D2_D6"	-0.078166144200627	175
"PCA_moving_centered_shape_PC3"	"EveningPeakAmplitude__Late2_Early2"	-0.0785465665556164	169
"PCA_moving_centered_shape_PC3"	"MovingDark__Late2_Early2"	-0.0827360774818402	176
"PCA_moving_centered_shape_PC3"	"LightSleep__State_D2_D6"	-0.0886000440237728	176
"PCA_moving_centered_shape_PC3"	"ActivityLight__Late2_Early2"	-0.0937795236437771	169
"PCA_moving_centered_shape_PC3"	"DawnAnticipation__D6_D1"	-0.0984745762711864	176
"PCA_moving_centered_shape_PC3"	"PWakeLight__Late2_Early2"	-0.0989533091343046	169
"PCA_moving_centered_shape_PC3"	"MovingLight__Late2_Early2"	-0.10266023569191	169
"PCA_moving_centered_shape_PC3"	"MovingLight__D6_D1"	-0.106213017751479	169
"PCA_moving_centered_shape_PC3"	"ActivityContrast__State_D2_D6"	-0.122681047765794	176
"PCA_moving_centered_shape_PC3"	"SiestaMoving__Late2_Early2"	-0.128544080354035	169
"PCA_moving_centered_shape_PC3"	"FragmentationLight__D6_D1"	-0.147769877181642	169
"PCA_moving_centered_shape_PC3"	"DuskResponse__D6_D1"	-0.158901606867709	176
"PCA_moving_centered_shape_PC3"	"DawnAnticipation__Late2_Early2"	-0.159379264802994	176
"PCA_moving_centered_shape_PC3"	"PWakeDark__State_D2_D6"	-0.16357252916575	176
"PCA_moving_centered_shape_PC3"	"DawnResponse__State_D2_D6"	-0.171684003788274	176
"PCA_moving_centered_shape_PC3"	"FragmentationDark__State_D2_D6"	-0.176057671142417	176
"PCA_moving_centered_shape_PC3"	"DarkCoreMoving__State_D2_D6"	-0.179211974466212	176
"PCA_moving_centered_shape_PC3"	"FragmentationLight__Late2_Early2"	-0.237736699044852	168
"PCA_moving_centered_shape_PC3"	"MorningPeakOffset__State_D2_D6"	-0.264733280977683	172
"PCA_moving_centered_shape_PC3"	"LDIntradailyVariability__State_D2_D6"	-0.274008364516839	176
"PCA_moving_centered_shape_PC3"	"PDozeDark__State_D2_D6"	-0.314486022452124	176
"PCA_moving_change_PC1"	"MovingDark__Late2_Early2"	0.939970662821342	169
"PCA_moving_change_PC1"	"MovingDark__D6_D1"	0.898383968972204	169
"PCA_moving_change_PC1"	"ActivityDark__Late2_Early2"	0.832283327532197	169
"PCA_moving_change_PC1"	"ActivityDark__D6_D1"	0.811876584953508	169
"PCA_moving_change_PC1"	"DarkCoreMoving__Late2_Early2"	0.782489682263438	169
"PCA_moving_change_PC1"	"MovingLight__D6_D1"	0.774290189448561	169
"PCA_moving_change_PC1"	"PWakeDark__Late2_Early2"	0.747670429118393	169
"PCA_moving_change_PC1"	"MovingLight__Late2_Early2"	0.747429267565014	169
"PCA_moving_change_PC1"	"DarkCoreMoving__D6_D1"	0.739672318631595	169
"PCA_moving_change_PC1"	"PWakeDark__D6_D1"	0.709193973447367	169
"PCA_moving_change_PC1"	"ActivityLight__Late2_Early2"	0.668783252946149	169
"PCA_moving_change_PC1"	"SiestaMoving__Late2_Early2"	0.660476853463279	169
"PCA_moving_change_PC1"	"SiestaMoving__D6_D1"	0.616253925870244	169
