phenotype	Batch	Genotype	value	n_flies	n_retained	mad	q25	q75	metric	contrast	family	selection_class
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP441"	-0.239460074585603	19	19	0.159421507128068	-0.398539028200686	-0.18712433228092	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"CS"	-0.050874289955425	21	21	0.276922559910498	-0.217904110454956	0.141087035334097	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP517"	-0.158668449427678	15	15	0.288838502123667	-0.394903083417274	-0.0249439068527987	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP783"	-0.193643358834711	30	30	0.263200879571828	-0.351076587255781	-0.00620357770025146	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP897"	-0.0288774182969292	24	24	0.315911534209801	-0.256327181036488	0.143849299280582	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP913"	-0.100412053958778	20	20	0.166734506955483	-0.185973328911403	0.0113426825164851	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP105"	-0.0725011776542644	20	20	0.338508648465203	-0.299075550278422	0.143313090871997	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP310"	0.0117450565690284	22	22	0.106882688353598	-0.0975498696721436	0.068526062093979	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch7_DGRP"	"DGRP441"	-0.277813680245065	19	19	0.180615446327917	-0.366812063086431	-0.152561290339943	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP136"	0.0450177191932408	22	22	0.256514508391185	-0.131014802421494	0.161453960089344	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP502"	-0.0421684595606494	15	15	0.0900557040663257	-0.128826985586233	0.0128957188820576	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP513"	-0.0805550091867067	15	15	0.225671506175664	-0.136082757662328	0.100901325652289	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP832"	0.0268759259669722	15	15	0.118192568323744	-0.0437704749945292	0.10795198966175	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP40"	-0.083327803300378	15	15	0.124251188004403	-0.110155193481693	0.0145047310429992	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP181"	-0.26386441539602	18	18	0.24837840274764	-0.402151827692668	-0.0750016422001896	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP217"	-0.0897699836742377	18	18	0.16454287780929	-0.161573416359641	0.0552883458106488	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP336"	0.00911597157945271	13	13	0.135155556343316	-0.169796796018279	0.0808049949928686	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch8_DGRP"	"DGRP409"	0.0884336935656059	14	14	0.143951010929915	-0.0224751008725894	0.173756863247572	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"CS"	-0.286313404292592	28	28	0.22595503002494	-0.486944647979227	-0.195292458917774	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP808"	0.0368688187535727	24	24	0.115974854747348	-0.0506333192803045	0.108442059741227	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP703"	-0.148220150107	31	31	0.343575622884165	-0.371489675566884	0.0485366572920948	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP716"	-0.277946715172288	19	19	0.156156564917827	-0.394502379681306	-0.183760908658389	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP787"	0.0286766737945885	29	29	0.104855503469293	-0.0338458200827967	0.0994007419648926	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP737"	-0.338682648818691	29	29	0.197889732086917	-0.462832588375058	-0.186134221266666	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP837"	-0.0770206481049995	13	13	0.140961881680932	-0.132125431703773	0.0763859186985559	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP890"	-0.139563887669692	26	26	0.1566841685312	-0.292616351337246	-0.050493207039536	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP310"	-0.0633972482832539	27	27	0.133623055398044	-0.124361761450317	0.0452870259286727	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP907"	-0.0149851809631888	30	30	0.14947794468177	-0.102147185657443	0.11210028888378	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch9_DGRP"	"DGRP908"	-0.0839162710355696	18	18	0.104709236828877	-0.162727314674569	-0.0315147685479141	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP595"	-0.0790186057483893	31	31	0.270341694600876	-0.22899957819454	0.118053771658169	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP596"	0.0391391096089336	30	30	0.287577037244468	-0.0759979904074148	0.233328805650756	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"CS"	-0.280232698795624	30	30	0.27055908696781	-0.464059404977122	-0.102576691100253	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP531"	-0.081061949525593	16	16	0.348525090404381	-0.341250070723925	0.136522047569452	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP492"	0.0129069483655115	11	11	0.110627954688229	-0.0519446591034078	0.0813159770146614	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP161"	0.0953373684199094	15	15	0.340459033574945	0.022789484825452	0.331381052400112	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP822"	-0.168809292560136	28	28	0.0981882464398148	-0.216751760291186	-0.0900521364580631	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP634"	-0.120611524598371	24	24	0.13568929378801	-0.257039724507237	-0.0398747005533895	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch10_DGRP"	"DGRP890"	-0.26508059125161	29	29	0.251413856416578	-0.522233183922753	-0.124086883371286	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"CS"	-0.13975350751888	29	29	0.22966410044695	-0.330730080862304	-0.0753910250715931	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP208"	-0.209975900786869	26	26	0.388632272998958	-0.49736955627576	0.0269393441992449	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP235"	0.0226813733046436	11	11	0.146730823614358	-0.126067670802446	0.0992769671840628	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP380"	-0.0960973953818308	24	24	0.157623277880158	-0.280972887291282	-0.0461881691972147	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP399"	-0.150743270487388	27	27	0.184028730355195	-0.249279989016668	-0.0434984407436818	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP502"	0.0188559796224823	28	28	0.229152785874168	-0.13453161169961	0.162994366558264	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP555"	0.0198310334326656	16	16	0.204763167356417	-0.200581950923904	0.0478336990026796	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP730"	0.0439602135025269	30	30	0.206937341850511	-0.0984911640327716	0.150184621301956	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP738"	-0.234113221677533	28	28	0.193932529221688	-0.334011644200129	-0.0774029737167858	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP765"	0.00280527037987999	7	7	0.0577215330065405	-0.211887163157462	0.0325007056351479	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch11_DGRP"	"DGRP832"	-0.00189776047563403	10	10	0.144139737017246	-0.0774118952873298	0.130615433250185	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"CS"	-0.3103243899395	30	30	0.262323986913596	-0.433443000150372	-0.0775021999048032	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP303"	0.0383377690475788	14	14	0.183624297157332	-0.0689967064801804	0.155637646511744	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP304"	-0.193784112618751	21	21	0.136368286351875	-0.255691984629246	-0.0634156831519772	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP307"	-0.126452340417665	27	27	0.105094043618689	-0.199814706031253	-0.0653895487980932	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP313"	-0.125672504372067	27	27	0.168562941701948	-0.239838942978988	-0.0241309269332155	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP324"	-0.30405073485304	26	26	0.121947772951042	-0.339105449684459	-0.193332749622457	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP335"	0.00875188308930541	15	15	0.211910040083298	-0.155982257156497	0.0477477029900528	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
