model	resampling	bin	zt	median	q025	q975
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	18	8.75	0.276802932735746	0.201445821972385	0.336694091087575
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	19	9.25	0.288283622455292	0.197156888523052	0.342932636149634
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	20	9.75	0.295068684948759	0.18164690630614	0.351952487305523
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	21	10.25	0.284459879700641	0.168545807139882	0.342253488565229
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	22	10.75	0.254545077139672	0.159913636807064	0.307165638728649
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	23	11.25	0.20545211506112	0.122340149095542	0.25562386354492
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	24	11.75	0.148633444801417	0.0940274671323338	0.19880965921123
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	25	12.25	0.109249060737867	0.0688366833146391	0.157824300729038
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	26	12.75	0.0825181509309473	0.044905799485989	0.127851976098019
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	27	13.25	0.0645040949351917	0.0282312816388113	0.105421255724998
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	28	13.75	0.0442995703322813	0.0089090858933584	0.0782177375325453
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	29	14.25	0.0377059192213943	0.00466733415582512	0.0719018424091163
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	30	14.75	0.0271355381234278	-0.00622283457627907	0.064217651143764
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	31	15.25	0.022585654050687	-0.0152796526012372	0.0616270326138959
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	32	15.75	0.0220537630018458	-0.014803182966585	0.0616177951925073
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	33	16.25	0.0241521231819466	-0.0173907164905842	0.0667258846716072
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	34	16.75	0.0219968667931075	-0.0280792327610442	0.0689155218857921
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	35	17.25	0.0204830572359836	-0.035386367078741	0.0723750244415502
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	36	17.75	0.0127777688416278	-0.0491770037518642	0.0693183521580447
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	37	18.25	0.0156983625776102	-0.0516793696453246	0.0821632236101553
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	38	18.75	0.0202257157739405	-0.0456196729117431	0.0889790284717683
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	39	19.25	0.0227752746426109	-0.045329603271547	0.0981839412160146
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	40	19.75	0.0168661559512157	-0.0540412377502071	0.0997433643881152
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	41	20.25	0.0040297354701836	-0.073689110979154	0.0949498789908655
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	42	20.75	-0.00783135266982713	-0.0928630743260432	0.0897066102673138
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	43	21.25	-0.00648843429826255	-0.0860984998984887	0.0919269724740057
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	44	21.75	-0.0150917777261898	-0.0903211741504555	0.0704526604390331
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	45	22.25	-0.019943285174318	-0.078789425527157	0.050075380232139
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	46	22.75	-0.0284559631721302	-0.07293974734565	0.0204301445066756
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	47	23.25	-0.117835870497689	-0.153686375013408	-0.0795309839244776
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	48	23.75	-0.173531346428201	-0.231699965671168	-0.120847241859399
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	1	0.25	0.0865340400404395	0.0692501457762767	0.103704022715077
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	2	0.75	0.0873893629123155	0.0720714234586639	0.105866131319522
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	3	1.25	0.0899490421032044	0.0776716825401489	0.105246406888464
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	4	1.75	0.0879938337050581	0.0765040778882459	0.102391732833373
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	5	2.25	0.0871733066976216	0.0764273352517573	0.0994117962435384
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	6	2.75	0.086517458730714	0.0761761656776586	0.0967638005902801
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	7	3.25	0.087931428771088	0.079432159788488	0.0976688744273696
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	8	3.75	0.0883035106037333	0.0800737607414951	0.0987355106473695
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	9	4.25	0.0879823705503354	0.0798965438876685	0.0979923013463029
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	10	4.75	0.0928108095972851	0.0841401228693818	0.101426720784546
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	11	5.25	0.098953751327925	0.0921985944619159	0.106866207147747
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	12	5.75	0.103008124161847	0.0956361114736865	0.111857235358746
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	13	6.25	0.105113744495223	0.0970790564474947	0.112464768643918
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	14	6.75	0.108276539255096	0.10082723194023	0.11663322711563
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	15	7.25	0.117534313374023	0.110302968659947	0.124261682039972
