Genotype	value	n_batches	total_flies	phenotype
"DGRP441"	-0.09399942354017	3	63	"FragmentationDark__D6_D1"
"DGRP443"	0.306401732844867	1	24	"FragmentationDark__D6_D1"
"DGRP45"	-0.0211460297023239	1	25	"FragmentationDark__D6_D1"
"DGRP461"	0.0625879099397604	1	14	"FragmentationDark__D6_D1"
"DGRP48"	0.441961895238531	1	22	"FragmentationDark__D6_D1"
"DGRP486"	0.0716610147935095	2	37	"FragmentationDark__D6_D1"
"DGRP491"	0.206918544656995	2	39	"FragmentationDark__D6_D1"
"DGRP492"	0.257978328489344	3	42	"FragmentationDark__D6_D1"
"DGRP502"	-0.227946359316585	2	43	"FragmentationDark__D6_D1"
"DGRP505"	0.0422788014484437	1	20	"FragmentationDark__D6_D1"
"DGRP509"	0.92725836947384	1	18	"FragmentationDark__D6_D1"
"DGRP513"	-0.27218152627343	3	51	"FragmentationDark__D6_D1"
"DGRP517"	0.0169957068306739	2	41	"FragmentationDark__D6_D1"
"DGRP528"	0.326056462709755	2	44	"FragmentationDark__D6_D1"
"DGRP531"	0.0525502766544242	1	16	"FragmentationDark__D6_D1"
"DGRP535"	0.312898453006558	2	51	"FragmentationDark__D6_D1"
"DGRP551"	0.0263021605380274	1	26	"FragmentationDark__D6_D1"
"DGRP555"	0.0341499237811704	2	45	"FragmentationDark__D6_D1"
"DGRP559"	0.311021922537269	1	21	"FragmentationDark__D6_D1"
"DGRP563"	0.436339347346883	1	28	"FragmentationDark__D6_D1"
"DGRP566"	0.558470624149218	1	19	"FragmentationDark__D6_D1"
"DGRP57"	0.101619020847596	1	21	"FragmentationDark__D6_D1"
"DGRP584"	0.165134883203682	2	28	"FragmentationDark__D6_D1"
"DGRP589"	0.0620039971286862	1	21	"FragmentationDark__D6_D1"
"DGRP59"	0.121511428371132	1	27	"FragmentationDark__D6_D1"
"DGRP595"	0.0784037044914776	1	29	"FragmentationDark__D6_D1"
"DGRP596"	0.346541424454598	1	30	"FragmentationDark__D6_D1"
"DGRP627"	-0.0976382869106711	1	17	"FragmentationDark__D6_D1"
"DGRP630"	0.124800516270969	2	42	"FragmentationDark__D6_D1"
"DGRP634"	0.015790891385402	1	24	"FragmentationDark__D6_D1"
"DGRP639"	0.442245967938286	2	32	"FragmentationDark__D6_D1"
"DGRP69"	0.0275125991051738	2	32	"FragmentationDark__D6_D1"
"DGRP703"	0.311137889270928	1	16	"FragmentationDark__D6_D1"
"DGRP705"	-0.0881523159890097	2	41	"FragmentationDark__D6_D1"
"DGRP707"	0.213546512728853	2	28	"FragmentationDark__D6_D1"
"DGRP712"	0.230644824673916	2	39	"FragmentationDark__D6_D1"
"DGRP714"	-0.223935921433802	1	19	"FragmentationDark__D6_D1"
"DGRP716"	0.0876336229513277	1	19	"FragmentationDark__D6_D1"
"DGRP721"	0.497217096268248	1	21	"FragmentationDark__D6_D1"
"DGRP73"	-0.412480636879924	2	26	"FragmentationDark__D6_D1"
"DGRP730"	0.346810548243905	2	52	"FragmentationDark__D6_D1"
"DGRP732"	0.49494353945044	2	41	"FragmentationDark__D6_D1"
"DGRP737"	0.305810142254897	1	29	"FragmentationDark__D6_D1"
"DGRP738"	0.273936563435288	1	26	"FragmentationDark__D6_D1"
"DGRP748"	0.215078849816798	2	42	"FragmentationDark__D6_D1"
"DGRP75"	0.336900921076568	1	24	"FragmentationDark__D6_D1"
"DGRP757"	0.361613805105548	2	40	"FragmentationDark__D6_D1"
"DGRP761"	-0.141562502080097	1	17	"FragmentationDark__D6_D1"
"DGRP765"	-0.0494267087047253	3	57	"FragmentationDark__D6_D1"
"DGRP774"	-0.409625591354408	1	26	"FragmentationDark__D6_D1"
"DGRP776"	0.327311540905718	1	23	"FragmentationDark__D6_D1"
"DGRP783"	0.296144242045698	2	56	"FragmentationDark__D6_D1"
"DGRP786"	-0.295441235998385	1	27	"FragmentationDark__D6_D1"
"DGRP787"	0.151008089512866	1	29	"FragmentationDark__D6_D1"
"DGRP790"	0.100409766452469	1	20	"FragmentationDark__D6_D1"
"DGRP796"	-0.198864124508277	1	22	"FragmentationDark__D6_D1"
"DGRP799"	0.114425475820328	1	30	"FragmentationDark__D6_D1"
"DGRP801"	-0.324232744025331	1	24	"FragmentationDark__D6_D1"
"DGRP802"	0.353833262760166	1	23	"FragmentationDark__D6_D1"
"DGRP805"	-0.212683176738881	1	26	"FragmentationDark__D6_D1"
"DGRP808"	0.0482627461562978	1	24	"FragmentationDark__D6_D1"
"DGRP810"	0.102235654854072	1	30	"FragmentationDark__D6_D1"
"DGRP812"	-0.147606625697545	1	17	"FragmentationDark__D6_D1"
"DGRP818"	0.272505614106349	1	16	"FragmentationDark__D6_D1"
"DGRP819"	0.253342907302697	1	31	"FragmentationDark__D6_D1"
"DGRP820"	0.285588785390753	2	42	"FragmentationDark__D6_D1"
"DGRP821"	-0.0727262560160264	2	30	"FragmentationDark__D6_D1"
"DGRP822"	0.11076576341039	1	28	"FragmentationDark__D6_D1"
"DGRP83"	0.354902563875031	1	17	"FragmentationDark__D6_D1"
"DGRP832"	0.405578690493164	2	25	"FragmentationDark__D6_D1"
"DGRP837"	0.0820271397458503	2	36	"FragmentationDark__D6_D1"
"DGRP843"	0.705428692139417	1	22	"FragmentationDark__D6_D1"
"DGRP85"	0.237607634796585	1	21	"FragmentationDark__D6_D1"
"DGRP850"	0.0971949949140683	1	19	"FragmentationDark__D6_D1"
"DGRP852"	-0.0838777372794779	1	25	"FragmentationDark__D6_D1"
"DGRP855"	0.18308858346913	1	22	"FragmentationDark__D6_D1"
"DGRP857"	0.681171008364586	1	28	"FragmentationDark__D6_D1"
"DGRP859"	0.0882476464703683	1	29	"FragmentationDark__D6_D1"
"DGRP861"	0.136038104667355	1	18	"FragmentationDark__D6_D1"
"DGRP879"	0.0183442246643182	1	19	"FragmentationDark__D6_D1"
"DGRP88"	-0.0403500170472628	1	22	"FragmentationDark__D6_D1"
"DGRP890"	-0.205790119371485	2	55	"FragmentationDark__D6_D1"
"DGRP897"	0.301235235665642	1	24	"FragmentationDark__D6_D1"
"DGRP900"	0.27461963089813	1	26	"FragmentationDark__D6_D1"
"DGRP907"	0.141535932893983	1	30	"FragmentationDark__D6_D1"
"DGRP908"	-0.0154984434136767	1	18	"FragmentationDark__D6_D1"
"DGRP91"	0.036813673001986	1	25	"FragmentationDark__D6_D1"
"DGRP911"	0.363897316903406	1	24	"FragmentationDark__D6_D1"
"DGRP913"	0.0238397558503176	1	20	"FragmentationDark__D6_D1"
"DGRP93"	0.298661525298234	1	30	"FragmentationDark__D6_D1"
"DGRP100"	0.262551313146447	1	28	"FragmentationDark__Late2_Early2"
"DGRP101"	0.191718348430754	1	27	"FragmentationDark__Late2_Early2"
"DGRP105"	0.405134604188874	1	20	"FragmentationDark__Late2_Early2"
"DGRP109"	0.617080142776711	1	30	"FragmentationDark__Late2_Early2"
"DGRP129"	0.181232392385709	1	29	"FragmentationDark__Late2_Early2"
"DGRP136"	0.400774549820198	1	22	"FragmentationDark__Late2_Early2"
"DGRP142"	0.305691256173037	1	26	"FragmentationDark__Late2_Early2"
"DGRP149"	0.405284832425659	1	29	"FragmentationDark__Late2_Early2"
"DGRP161"	-0.224941010656957	2	35	"FragmentationDark__Late2_Early2"
"DGRP176"	-0.407881198886261	1	29	"FragmentationDark__Late2_Early2"
"DGRP181"	-0.0552403304526594	2	42	"FragmentationDark__Late2_Early2"
"DGRP189"	0.0445757848478647	2	38	"FragmentationDark__Late2_Early2"
"DGRP195"	0.132045044987254	2	33	"FragmentationDark__Late2_Early2"
"DGRP208"	0.132809886496089	2	47	"FragmentationDark__Late2_Early2"
"DGRP21"	0.295761596649148	1	17	"FragmentationDark__Late2_Early2"
"DGRP217"	0.286811796175658	2	41	"FragmentationDark__Late2_Early2"
"DGRP228"	0.437409379209933	1	23	"FragmentationDark__Late2_Early2"
"DGRP229"	0.401212783716926	1	30	"FragmentationDark__Late2_Early2"
"DGRP235"	-0.130947100079567	2	28	"FragmentationDark__Late2_Early2"
"DGRP239"	0.154814750777606	2	44	"FragmentationDark__Late2_Early2"
"DGRP26"	0.21901024350063	2	39	"FragmentationDark__Late2_Early2"
"DGRP280"	0.407966208282961	1	27	"FragmentationDark__Late2_Early2"
"DGRP287"	0.181437281644201	1	24	"FragmentationDark__Late2_Early2"
"DGRP301"	-0.0899608407953505	1	23	"FragmentationDark__Late2_Early2"
"DGRP303"	0.082260064640298	2	42	"FragmentationDark__Late2_Early2"
"DGRP304"	0.0419758598649969	2	48	"FragmentationDark__Late2_Early2"
"DGRP306"	0.205984909364585	1	28	"FragmentationDark__Late2_Early2"
"DGRP307"	0.201367141012249	2	51	"FragmentationDark__Late2_Early2"
"DGRP309"	0.247500144148813	2	40	"FragmentationDark__Late2_Early2"
"DGRP31"	0.0854473093330184	1	24	"FragmentationDark__Late2_Early2"
"DGRP310"	0.330517391572705	2	48	"FragmentationDark__Late2_Early2"
"DGRP313"	0.0127999448688722	2	58	"FragmentationDark__Late2_Early2"
"DGRP317"	0.379945427480656	1	25	"FragmentationDark__Late2_Early2"
"DGRP318"	0.464333447259277	1	24	"FragmentationDark__Late2_Early2"
"DGRP319"	0.104006559925422	3	44	"FragmentationDark__Late2_Early2"
"DGRP32"	0.367012010417179	1	29	"FragmentationDark__Late2_Early2"
"DGRP320"	0.155516344677184	2	31	"FragmentationDark__Late2_Early2"
"DGRP321"	0.227111630581301	2	47	"FragmentationDark__Late2_Early2"
"DGRP324"	0.00604962835045546	2	55	"FragmentationDark__Late2_Early2"
"DGRP332"	0.100506363177402	2	39	"FragmentationDark__Late2_Early2"
"DGRP335"	0.155568244228633	3	40	"FragmentationDark__Late2_Early2"
"DGRP336"	0.127372759963114	4	61	"FragmentationDark__Late2_Early2"
"DGRP338"	0.0980989043310288	2	39	"FragmentationDark__Late2_Early2"
"DGRP348"	0.0429540783706745	1	20	"FragmentationDark__Late2_Early2"
"DGRP350"	0.150778932650391	1	20	"FragmentationDark__Late2_Early2"
"DGRP352"	0.0299616308453773	1	13	"FragmentationDark__Late2_Early2"
"DGRP354"	0.304628189181057	2	51	"FragmentationDark__Late2_Early2"
"DGRP355"	0.139435971732052	1	29	"FragmentationDark__Late2_Early2"
"DGRP356"	0.317552177863338	2	44	"FragmentationDark__Late2_Early2"
"DGRP357"	-0.482092530374609	1	24	"FragmentationDark__Late2_Early2"
"DGRP358"	-0.254479973787526	2	47	"FragmentationDark__Late2_Early2"
"DGRP359"	0.103645310621953	1	23	"FragmentationDark__Late2_Early2"
"DGRP360"	-0.0949430551904528	2	46	"FragmentationDark__Late2_Early2"
"DGRP361"	0.0416949551945953	2	27	"FragmentationDark__Late2_Early2"
"DGRP362"	-0.0611631975603115	2	59	"FragmentationDark__Late2_Early2"
"DGRP365"	-0.0736371443725211	1	22	"FragmentationDark__Late2_Early2"
"DGRP370"	0.115443515873931	1	25	"FragmentationDark__Late2_Early2"
"DGRP371"	0.535592252449306	1	23	"FragmentationDark__Late2_Early2"
"DGRP373"	-0.0607289001855857	1	24	"FragmentationDark__Late2_Early2"
"DGRP374"	0.343082688495579	1	26	"FragmentationDark__Late2_Early2"
"DGRP375"	0.181983941235719	2	44	"FragmentationDark__Late2_Early2"
"DGRP377"	0.145622817706087	1	20	"FragmentationDark__Late2_Early2"
"DGRP379"	0.184722038535899	1	24	"FragmentationDark__Late2_Early2"
"DGRP38"	0.229137602853347	1	24	"FragmentationDark__Late2_Early2"
"DGRP380"	0.113693502950958	3	63	"FragmentationDark__Late2_Early2"
"DGRP381"	-0.157459525526273	1	27	"FragmentationDark__Late2_Early2"
"DGRP382"	0.0894928138850722	2	32	"FragmentationDark__Late2_Early2"
"DGRP383"	0.0442224693239409	1	21	"FragmentationDark__Late2_Early2"
"DGRP385"	0.335193677630652	1	29	"FragmentationDark__Late2_Early2"
"DGRP386"	0.155477634176926	2	41	"FragmentationDark__Late2_Early2"
"DGRP390"	0.0715222777288461	1	23	"FragmentationDark__Late2_Early2"
"DGRP391"	0.0827790320550615	4	91	"FragmentationDark__Late2_Early2"
"DGRP392"	0.0783641018747656	1	31	"FragmentationDark__Late2_Early2"
"DGRP395"	0.201133042474237	1	24	"FragmentationDark__Late2_Early2"
"DGRP397"	0.173410413521252	1	30	"FragmentationDark__Late2_Early2"
"DGRP399"	0.480784903412492	2	45	"FragmentationDark__Late2_Early2"
"DGRP40"	0.0558723010837067	3	50	"FragmentationDark__Late2_Early2"
"DGRP405"	0.29635241389308	1	24	"FragmentationDark__Late2_Early2"
"DGRP406"	-0.137669410659594	1	22	"FragmentationDark__Late2_Early2"
"DGRP409"	0.102074278727446	2	34	"FragmentationDark__Late2_Early2"
"DGRP41"	0.205140374397131	1	25	"FragmentationDark__Late2_Early2"
"DGRP426"	0.687263535847317	1	15	"FragmentationDark__Late2_Early2"
"DGRP427"	0.263400753273096	1	22	"FragmentationDark__Late2_Early2"
"DGRP437"	0.269797328996518	3	52	"FragmentationDark__Late2_Early2"
"DGRP439"	0.305392929023587	1	27	"FragmentationDark__Late2_Early2"
"DGRP440"	0.207898062697462	1	25	"FragmentationDark__Late2_Early2"
"DGRP441"	-0.0260119964048592	3	63	"FragmentationDark__Late2_Early2"
"DGRP443"	0.130855065431186	1	19	"FragmentationDark__Late2_Early2"
"DGRP45"	0.14394637590907	1	25	"FragmentationDark__Late2_Early2"
"DGRP461"	0.0481869294411416	1	14	"FragmentationDark__Late2_Early2"
"DGRP48"	0.58998003453515	1	22	"FragmentationDark__Late2_Early2"
"DGRP486"	0.145857382772777	2	36	"FragmentationDark__Late2_Early2"
"DGRP491"	0.136282711150675	2	39	"FragmentationDark__Late2_Early2"
"DGRP492"	0.167179002206123	3	42	"FragmentationDark__Late2_Early2"
"DGRP502"	-0.1296708218628	2	43	"FragmentationDark__Late2_Early2"
"DGRP505"	0.0671050230517614	1	20	"FragmentationDark__Late2_Early2"
"DGRP509"	0.860095873844317	1	16	"FragmentationDark__Late2_Early2"
"DGRP513"	-0.202295867169099	3	51	"FragmentationDark__Late2_Early2"
"DGRP517"	0.0784036905375894	2	41	"FragmentationDark__Late2_Early2"
"DGRP528"	0.307371031013022	2	44	"FragmentationDark__Late2_Early2"
"DGRP531"	0.222796811870492	1	16	"FragmentationDark__Late2_Early2"
"DGRP535"	0.247718235859654	2	51	"FragmentationDark__Late2_Early2"
"DGRP551"	0.0069581097394513	1	26	"FragmentationDark__Late2_Early2"
"DGRP555"	0.000286543441690129	2	45	"FragmentationDark__Late2_Early2"
"DGRP559"	0.216033476354154	1	21	"FragmentationDark__Late2_Early2"
"DGRP563"	0.248764196049192	1	28	"FragmentationDark__Late2_Early2"
"DGRP566"	0.360434682401245	1	17	"FragmentationDark__Late2_Early2"
"DGRP57"	0.101744266499759	1	21	"FragmentationDark__Late2_Early2"
"DGRP584"	0.16721324130797	2	28	"FragmentationDark__Late2_Early2"
"DGRP589"	0.20511110238357	1	21	"FragmentationDark__Late2_Early2"
"DGRP59"	0.101644524757845	1	27	"FragmentationDark__Late2_Early2"
"DGRP595"	0.17837207095193	1	27	"FragmentationDark__Late2_Early2"
"DGRP596"	0.288707640697295	1	30	"FragmentationDark__Late2_Early2"
"DGRP627"	0.0413954946178556	1	17	"FragmentationDark__Late2_Early2"
"DGRP630"	0.0859071748330408	2	42	"FragmentationDark__Late2_Early2"
"DGRP634"	0.0934652085707017	1	24	"FragmentationDark__Late2_Early2"
"DGRP639"	0.437667564474112	2	32	"FragmentationDark__Late2_Early2"
"DGRP69"	0.0698864269207339	2	32	"FragmentationDark__Late2_Early2"
"DGRP703"	0.269114554569135	1	13	"FragmentationDark__Late2_Early2"
"DGRP705"	-0.0380616096448716	2	41	"FragmentationDark__Late2_Early2"
"DGRP707"	0.17422749044259	2	28	"FragmentationDark__Late2_Early2"
"DGRP712"	0.237522660604454	2	39	"FragmentationDark__Late2_Early2"
"DGRP714"	-0.348884771065397	1	19	"FragmentationDark__Late2_Early2"
"DGRP716"	0.15176482995035	1	19	"FragmentationDark__Late2_Early2"
"DGRP721"	0.3912977586539	1	19	"FragmentationDark__Late2_Early2"
"DGRP73"	-0.394493692987349	2	26	"FragmentationDark__Late2_Early2"
"DGRP730"	0.290343798681116	2	52	"FragmentationDark__Late2_Early2"
"DGRP732"	0.482521406350159	2	41	"FragmentationDark__Late2_Early2"
"DGRP737"	0.296533367330469	1	29	"FragmentationDark__Late2_Early2"
"DGRP738"	0.309250026339323	1	23	"FragmentationDark__Late2_Early2"
"DGRP748"	0.14152279912671	2	42	"FragmentationDark__Late2_Early2"
"DGRP75"	0.30346859935292	1	24	"FragmentationDark__Late2_Early2"
"DGRP757"	0.292904276328521	2	40	"FragmentationDark__Late2_Early2"
"DGRP761"	-0.280456393349068	1	17	"FragmentationDark__Late2_Early2"
"DGRP765"	0.0228368397622089	3	54	"FragmentationDark__Late2_Early2"
"DGRP774"	-0.308768194092927	1	26	"FragmentationDark__Late2_Early2"
"DGRP776"	0.21889025125017	1	23	"FragmentationDark__Late2_Early2"
"DGRP783"	0.141329079071614	2	56	"FragmentationDark__Late2_Early2"
"DGRP786"	-0.20503309204572	1	27	"FragmentationDark__Late2_Early2"
"DGRP787"	0.0431869585631501	1	29	"FragmentationDark__Late2_Early2"
"DGRP790"	-0.164751202064223	1	20	"FragmentationDark__Late2_Early2"
"DGRP796"	-0.111065312322741	1	22	"FragmentationDark__Late2_Early2"
"DGRP799"	-0.0792625312384895	1	29	"FragmentationDark__Late2_Early2"
"DGRP801"	-0.386504164498751	1	24	"FragmentationDark__Late2_Early2"
"DGRP802"	0.328873406768834	1	23	"FragmentationDark__Late2_Early2"
"DGRP805"	-0.232607755686328	1	26	"FragmentationDark__Late2_Early2"
"DGRP808"	0.0954950850755252	1	24	"FragmentationDark__Late2_Early2"
"DGRP810"	0.13193634232791	1	30	"FragmentationDark__Late2_Early2"
"DGRP812"	-0.182365232503099	1	17	"FragmentationDark__Late2_Early2"
"DGRP818"	0.0307715117051325	1	16	"FragmentationDark__Late2_Early2"
"DGRP819"	0.0813935778794319	1	31	"FragmentationDark__Late2_Early2"
"DGRP820"	0.309440719786373	2	40	"FragmentationDark__Late2_Early2"
"DGRP821"	0.0413176098264503	2	30	"FragmentationDark__Late2_Early2"
"DGRP822"	0.203343366707484	1	28	"FragmentationDark__Late2_Early2"
"DGRP83"	0.176359804569475	1	17	"FragmentationDark__Late2_Early2"
"DGRP832"	0.216271635243785	2	24	"FragmentationDark__Late2_Early2"
"DGRP837"	0.148432564628711	2	36	"FragmentationDark__Late2_Early2"
"DGRP843"	0.581699270851965	1	22	"FragmentationDark__Late2_Early2"
"DGRP85"	0.262239102435324	1	21	"FragmentationDark__Late2_Early2"
"DGRP850"	-0.0428574826946381	1	18	"FragmentationDark__Late2_Early2"
"DGRP852"	-0.00894422415472047	1	25	"FragmentationDark__Late2_Early2"
"DGRP855"	0.143881928209179	1	22	"FragmentationDark__Late2_Early2"
"DGRP857"	0.386348546627389	1	28	"FragmentationDark__Late2_Early2"
"DGRP859"	0.174131286289571	1	29	"FragmentationDark__Late2_Early2"
"DGRP861"	0.077708857879644	1	17	"FragmentationDark__Late2_Early2"
"DGRP879"	0.0371544063991185	1	19	"FragmentationDark__Late2_Early2"
"DGRP88"	0.00032286558377638	1	22	"FragmentationDark__Late2_Early2"
"DGRP890"	-0.0716117765255382	2	55	"FragmentationDark__Late2_Early2"
"DGRP897"	0.211646576046582	1	24	"FragmentationDark__Late2_Early2"
"DGRP900"	0.155959895940311	1	25	"FragmentationDark__Late2_Early2"
"DGRP907"	0.140468932593075	1	30	"FragmentationDark__Late2_Early2"
"DGRP908"	0.0469864759849897	1	18	"FragmentationDark__Late2_Early2"
"DGRP91"	-0.0475494043148092	1	25	"FragmentationDark__Late2_Early2"
"DGRP911"	0.293777229148298	1	24	"FragmentationDark__Late2_Early2"
"DGRP913"	0.102778994678573	1	20	"FragmentationDark__Late2_Early2"
"DGRP93"	0.355698175679156	1	30	"FragmentationDark__Late2_Early2"
"DGRP100"	4.44810790236257	1	28	"LongestBoutDark__State_D2_D6"
"DGRP101"	4.80522322925567	1	27	"LongestBoutDark__State_D2_D6"
"DGRP105"	4.37896459933034	1	20	"LongestBoutDark__State_D2_D6"
"DGRP109"	4.77095275552331	1	30	"LongestBoutDark__State_D2_D6"
"DGRP129"	5.12183194910759	1	29	"LongestBoutDark__State_D2_D6"
"DGRP136"	5.45776897172974	1	22	"LongestBoutDark__State_D2_D6"
"DGRP142"	3.51276965720021	1	30	"LongestBoutDark__State_D2_D6"
"DGRP149"	3.99035266687644	1	29	"LongestBoutDark__State_D2_D6"
"DGRP161"	6.01234323651246	2	35	"LongestBoutDark__State_D2_D6"
"DGRP176"	5.74429003551424	1	29	"LongestBoutDark__State_D2_D6"
"DGRP181"	5.28288274622875	2	43	"LongestBoutDark__State_D2_D6"
"DGRP189"	4.37354799363935	2	38	"LongestBoutDark__State_D2_D6"
"DGRP195"	4.31545097251701	2	33	"LongestBoutDark__State_D2_D6"
"DGRP208"	4.06165038421024	2	51	"LongestBoutDark__State_D2_D6"
"DGRP21"	5.73590718361333	1	17	"LongestBoutDark__State_D2_D6"
"DGRP217"	4.57903813265814	2	41	"LongestBoutDark__State_D2_D6"
"DGRP228"	5.06958951365684	1	23	"LongestBoutDark__State_D2_D6"
"DGRP229"	4.5544421044186	1	30	"LongestBoutDark__State_D2_D6"
"DGRP235"	5.07734765526511	2	28	"LongestBoutDark__State_D2_D6"
"DGRP239"	5.0012096522614	2	44	"LongestBoutDark__State_D2_D6"
"DGRP26"	4.67894700575866	2	39	"LongestBoutDark__State_D2_D6"
"DGRP280"	5.28272545333695	1	27	"LongestBoutDark__State_D2_D6"
"DGRP287"	5.08229498482009	1	24	"LongestBoutDark__State_D2_D6"
"DGRP301"	5.51854847800323	1	23	"LongestBoutDark__State_D2_D6"
"DGRP303"	5.86788198506005	2	42	"LongestBoutDark__State_D2_D6"
"DGRP304"	5.71589800984963	2	48	"LongestBoutDark__State_D2_D6"
"DGRP306"	5.19052257225248	1	29	"LongestBoutDark__State_D2_D6"
"DGRP307"	5.34353378154803	2	51	"LongestBoutDark__State_D2_D6"
"DGRP309"	4.47738657865955	2	40	"LongestBoutDark__State_D2_D6"
"DGRP31"	5.12666198889848	1	24	"LongestBoutDark__State_D2_D6"
"DGRP310"	3.76357131327393	2	49	"LongestBoutDark__State_D2_D6"
"DGRP313"	5.34481238710742	2	58	"LongestBoutDark__State_D2_D6"
"DGRP317"	3.87818214630638	1	25	"LongestBoutDark__State_D2_D6"
"DGRP318"	4.26326814632087	1	24	"LongestBoutDark__State_D2_D6"
"DGRP319"	5.08227437513154	3	44	"LongestBoutDark__State_D2_D6"
"DGRP32"	4.62865859538183	1	29	"LongestBoutDark__State_D2_D6"
"DGRP320"	5.0878789543715	2	31	"LongestBoutDark__State_D2_D6"
"DGRP321"	5.1655568971934	2	47	"LongestBoutDark__State_D2_D6"
"DGRP324"	5.09860044949651	2	55	"LongestBoutDark__State_D2_D6"
"DGRP332"	4.8317583355095	2	39	"LongestBoutDark__State_D2_D6"
"DGRP335"	5.45974501013718	3	40	"LongestBoutDark__State_D2_D6"
"DGRP336"	5.05648643910199	4	61	"LongestBoutDark__State_D2_D6"
"DGRP338"	5.69570687024824	2	39	"LongestBoutDark__State_D2_D6"
"DGRP348"	3.80189228782183	1	20	"LongestBoutDark__State_D2_D6"
"DGRP350"	5.20072758502425	1	20	"LongestBoutDark__State_D2_D6"
"DGRP352"	2.77682885305901	1	19	"LongestBoutDark__State_D2_D6"
"DGRP354"	4.11701323288975	2	51	"LongestBoutDark__State_D2_D6"
"DGRP355"	4.84904278641675	1	29	"LongestBoutDark__State_D2_D6"
"DGRP356"	4.14704385519067	2	44	"LongestBoutDark__State_D2_D6"
"DGRP357"	5.309471989551	1	24	"LongestBoutDark__State_D2_D6"
"DGRP358"	4.69083544057645	2	47	"LongestBoutDark__State_D2_D6"
"DGRP359"	5.18748698697096	1	23	"LongestBoutDark__State_D2_D6"
"DGRP360"	4.5113640130139	2	47	"LongestBoutDark__State_D2_D6"
"DGRP361"	5.46343498079818	2	27	"LongestBoutDark__State_D2_D6"
"DGRP362"	4.88132413501722	2	59	"LongestBoutDark__State_D2_D6"
"DGRP365"	5.28193715641644	1	23	"LongestBoutDark__State_D2_D6"
"DGRP370"	4.47793666570475	1	25	"LongestBoutDark__State_D2_D6"
"DGRP371"	4.26403949334146	1	27	"LongestBoutDark__State_D2_D6"
"DGRP373"	5.44809873235441	1	24	"LongestBoutDark__State_D2_D6"
"DGRP374"	4.34699839701668	1	26	"LongestBoutDark__State_D2_D6"
"DGRP375"	5.57375173110761	2	44	"LongestBoutDark__State_D2_D6"
"DGRP377"	3.94461966396975	1	22	"LongestBoutDark__State_D2_D6"
"DGRP379"	4.25831879605701	1	24	"LongestBoutDark__State_D2_D6"
"DGRP38"	2.92344252184335	1	25	"LongestBoutDark__State_D2_D6"
"DGRP380"	4.80698482611636	3	63	"LongestBoutDark__State_D2_D6"
"DGRP381"	4.80651219481029	1	28	"LongestBoutDark__State_D2_D6"
"DGRP382"	5.47803616836491	2	32	"LongestBoutDark__State_D2_D6"
"DGRP383"	4.48499273252565	1	21	"LongestBoutDark__State_D2_D6"
"DGRP385"	4.76306698901474	1	29	"LongestBoutDark__State_D2_D6"
"DGRP386"	4.49533454236665	2	41	"LongestBoutDark__State_D2_D6"
"DGRP390"	4.46677940300854	1	23	"LongestBoutDark__State_D2_D6"
"DGRP391"	3.95395340310241	4	91	"LongestBoutDark__State_D2_D6"
"DGRP392"	4.53935281476906	1	31	"LongestBoutDark__State_D2_D6"
"DGRP395"	5.03267216007624	1	25	"LongestBoutDark__State_D2_D6"
"DGRP397"	4.95098050066856	1	30	"LongestBoutDark__State_D2_D6"
"DGRP399"	4.3659681514174	2	46	"LongestBoutDark__State_D2_D6"
"DGRP40"	4.72018913533161	3	50	"LongestBoutDark__State_D2_D6"
"DGRP405"	5.15283748430333	1	24	"LongestBoutDark__State_D2_D6"
"DGRP406"	5.06176505738651	1	22	"LongestBoutDark__State_D2_D6"
"DGRP409"	5.22504994342549	2	34	"LongestBoutDark__State_D2_D6"
"DGRP41"	5.00195712902038	1	25	"LongestBoutDark__State_D2_D6"
"DGRP426"	5.55234320054154	1	15	"LongestBoutDark__State_D2_D6"
"DGRP427"	4.56492782540724	1	22	"LongestBoutDark__State_D2_D6"
"DGRP437"	4.80879224765021	3	52	"LongestBoutDark__State_D2_D6"
"DGRP439"	5.29380728085118	1	27	"LongestBoutDark__State_D2_D6"
"DGRP440"	4.85183852462001	1	25	"LongestBoutDark__State_D2_D6"
"DGRP441"	5.43306189337981	3	63	"LongestBoutDark__State_D2_D6"
"DGRP443"	4.00628192245078	1	25	"LongestBoutDark__State_D2_D6"
"DGRP45"	4.94407032686822	1	25	"LongestBoutDark__State_D2_D6"
"DGRP461"	5.76903701829993	1	14	"LongestBoutDark__State_D2_D6"
"DGRP48"	4.67979367409013	1	22	"LongestBoutDark__State_D2_D6"
"DGRP486"	3.92349479990945	2	38	"LongestBoutDark__State_D2_D6"
"DGRP491"	5.14386989195442	2	39	"LongestBoutDark__State_D2_D6"
"DGRP492"	4.89444847827213	3	42	"LongestBoutDark__State_D2_D6"
"DGRP502"	5.02490956376033	2	43	"LongestBoutDark__State_D2_D6"
"DGRP505"	5.01127154764146	1	20	"LongestBoutDark__State_D2_D6"
"DGRP509"	4.20185026176735	1	21	"LongestBoutDark__State_D2_D6"
"DGRP513"	3.79791179982856	3	55	"LongestBoutDark__State_D2_D6"
"DGRP517"	4.78539284493586	2	41	"LongestBoutDark__State_D2_D6"
"DGRP528"	4.67604848094371	2	44	"LongestBoutDark__State_D2_D6"
