deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_229"	-112.396573483138	26.0570433095104	1.60703614804636e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0109421329444368
"line_235"	-111.63348348143	26.0435394070231	1.8157757881942e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0420944421892751
"line_239"	-110.956291471837	26.0500700302746	2.05024844204786e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0948387118858403
"line_26"	-111.620994176333	26.0367058740273	1.81051090713697e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0408333668305279
"line_280"	-115.10463978152	26.620619413742	1.53301502959503e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0314213659944294
"line_287"	-111.448234957688	26.0435466141944	1.874792407616e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0559854074118658
"line_301"	-111.302444791561	26.0374128109883	1.91384397813817e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0649387513259878
"line_303"	-112.843095958462	26.0297776689855	1.45658084004116e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.053633185750849
"line_304"	-112.091858680121	26.0276640768986	1.65750752196937e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0024877292932155
"line_306"	-113.212348910285	26.0508959357802	1.38760100411245e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0747031732293833
"line_307"	-111.234826085941	26.0480729252292	1.9515173657477e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.073404641572945
"line_309"	-111.639603610287	26.0456851413241	1.81674132373587e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0423253161286308
"line_31"	-111.192834439646	26.0487182784707	1.96660469632224e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0767492932691889
"line_310"	-110.456013310652	26.5776277754344	3.23900219870375e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.293443464149742
"line_313"	-112.375986179483	26.0319124065348	1.58268189426383e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0175741445700206
"line_317"	-112.820451553795	26.0386176752303	1.47216394892794e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0490116003591039
"line_318"	-113.192649356813	26.0427536841794	1.3837981525455e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0758950322105125
"line_319"	-111.204626309706	26.0469401901778	1.96005575220537e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0753006460196186
"line_32"	-112.043069104621	26.0325224645095	1.67768075599236e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00774154427108087
"line_320"	-111.141100917983	26.0446224738679	1.97822942052108e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0793088777978266
"line_321"	-112.275651580316	26.0367454930512	1.61638184366473e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00842381517129542
"line_324"	-111.246416893118	26.0475029793298	1.94681123818616e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0723560659234082
"line_332"	-110.937176048419	26.0513285609471	2.05888270528835e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0966638268626738
"line_335"	-109.995312094739	26.0430414756711	2.40433807865202e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.164027755947092
