Batch	monitor	n_genotypes	genotypes
"Batch27_DGRP"	"M33"	1	"DGRP336"
"Batch27_DGRP"	"M34"	1	"DGRP513"
"Batch27_DGRP"	"M35"	1	"DGRP517"
"Batch27_DGRP"	"M36"	1	"DGRP630"
"Batch27_DGRP"	"M37"	1	"DGRP748"
"Batch27_DGRP"	"M38"	1	"DGRP765"
"Batch27_DGRP"	"M40"	1	"DGRP821"
"Batch28_DGRP"	"M31"	1	"CS"
"Batch28_DGRP"	"M32"	1	"DGRP409"
"Batch28_DGRP"	"M35"	1	"DGRP83"
"Batch28_DGRP"	"M36"	1	"DGRP437"
"Batch28_DGRP"	"M38"	1	"DGRP757"
"Batch28_DGRP"	"M40"	1	"DGRP386"
"Batch29_DGRP"	"M31"	1	"CS"
"Batch29_DGRP"	"M32"	1	"DGRP239"
"Batch29_DGRP"	"M33"	1	"DGRP319"
"Batch29_DGRP"	"M34"	1	"DGRP321"
"Batch29_DGRP"	"M35"	1	"DGRP336"
"Batch29_DGRP"	"M36"	1	"DGRP338"
"Batch29_DGRP"	"M37"	1	"DGRP356"
"Batch29_DGRP"	"M38"	1	"DGRP528"
"Batch29_DGRP"	"M40"	1	"DGRP837"
"Batch3_DGRP"	"M10"	1	"DGRP774"
"Batch3_DGRP"	"M11"	1	"DGRP301"
"Batch3_DGRP"	"M13"	1	"DGRP799"
"Batch3_DGRP"	"M5"	1	"DGRP714"
"Batch3_DGRP"	"M50"	1	"DGRP705"
"Batch3_DGRP"	"M51"	1	"DGRP859"
"Batch3_DGRP"	"M6"	1	"CS"
"Batch3_DGRP"	"M7"	1	"DGRP786"
"Batch3_DGRP"	"M8"	1	"DGRP852"
"Batch3_DGRP"	"M9"	1	"DGRP365"
"Batch31_DGRP"	"M31"	1	"CS"
"Batch31_DGRP"	"M32"	1	"DGRP69"
"Batch31_DGRP"	"M33"	1	"DGRP217"
"Batch31_DGRP"	"M34"	1	"DGRP335"
"Batch31_DGRP"	"M35"	1	"DGRP361"
"Batch31_DGRP"	"M36"	1	"DGRP441"
"Batch31_DGRP"	"M37"	1	"DGRP492"
"Batch31_DGRP"	"M38"	1	"DGRP535"
"Batch4a_DGRP"	"M12"	1	"DGRP705"
"Batch4a_DGRP"	"M52"	1	"DGRP357"
"Batch4a_DGRP"	"M53"	1	"DGRP820"
"Batch4b_DGRP"	"M10"	1	"DGRP380"
"Batch4b_DGRP"	"M13"	1	"DGRP555"
"Batch4b_DGRP"	"M51"	1	"DGRP765"
"Batch4b_DGRP"	"M52"	1	"DGRP399"
"Batch4b_DGRP"	"M53"	1	"DGRP730"
"Batch4c_DGRP"	"M10"	1	"DGRP712"
"Batch4c_DGRP"	"M51"	1	"DGRP391"
"Batch4c_DGRP"	"M52"	1	"DGRP707"
"Batch4c_DGRP"	"M53"	1	"DGRP380"
"Batch4c_DGRP"	"M54"	1	"DGRP437"
"Batch4c_DGRP"	"M6"	1	"DGRP639"
"Batch4c_DGRP"	"M7"	1	"DGRP732"
"Batch4c_DGRP"	"M8"	1	"DGRP374"
"Batch4c_DGRP"	"M9"	1	"DGRP486"
"Batch5b_DGRP"	"M10"	1	"DGRP843"
"Batch5b_DGRP"	"M11"	1	"DGRP379"
"Batch5b_DGRP"	"M13"	1	"DGRP441"
"Batch5b_DGRP"	"M5"	1	"CS"
"Batch5b_DGRP"	"M50"	1	"DGRP517"
"Batch5b_DGRP"	"M52"	1	"DGRP783"
"Batch5b_DGRP"	"M53"	1	"DGRP897"
"Batch5b_DGRP"	"M54"	1	"DGRP913"
"Batch5b_DGRP"	"M6"	1	"DGRP105"
"Batch5b_DGRP"	"M9"	1	"DGRP310"
"Batch6_DGRP"	"M12"	1	"DGRP59"
"Batch6_DGRP"	"M13"	1	"DGRP101"
"Batch6_DGRP"	"M50"	1	"DGRP318"
"Batch6_DGRP"	"M51"	1	"DGRP335"
"Batch6_DGRP"	"M52"	1	"DGRP338"
"Batch6_DGRP"	"M53"	1	"DGRP584"
"Batch6_DGRP"	"M54"	1	"DGRP796"
"Batch6_DGRP"	"M7"	1	"CS"
"Batch6_DGRP"	"M8"	1	"DGRP31"
"Batch7_DGRP"	"M50"	1	"DGRP441"
"Batch8_DGRP"	"M10"	1	"DGRP136"
"Batch8_DGRP"	"M11"	1	"DGRP502"
"Batch8_DGRP"	"M12"	1	"DGRP513"
"Batch8_DGRP"	"M13"	1	"DGRP832"
"Batch8_DGRP"	"M5"	1	"DGRP40"
"Batch8_DGRP"	"M6"	1	"DGRP181"
"Batch8_DGRP"	"M7"	1	"DGRP217"
"Batch8_DGRP"	"M8"	1	"DGRP336"
"Batch8_DGRP"	"M9"	1	"DGRP409"
"Batch9_DGRP"	"M27"	1	"CS"
"Batch9_DGRP"	"M28"	1	"DGRP808"
"Batch9_DGRP"	"M29"	1	"DGRP703"
"Batch9_DGRP"	"M30"	1	"DGRP716"
"Batch9_DGRP"	"M32"	1	"DGRP787"
"Batch9_DGRP"	"M40"	1	"DGRP737"
"Batch9_DGRP"	"M41"	1	"DGRP837"
"Batch9_DGRP"	"M42"	1	"DGRP890"
"Batch9_DGRP"	"M44"	1	"DGRP310"
"Batch9_DGRP"	"M45"	1	"DGRP907"
"Batch9_DGRP"	"M46"	1	"DGRP908"
