Batch	Genotype	planned	retained	n_monitors
"Batch3_DGRP"	"DGRP786"	32	27	1
"Batch3_DGRP"	"DGRP852"	32	25	1
"Batch3_DGRP"	"DGRP365"	32	23	1
"Batch31_DGRP"	"CS"	32	17	1
"Batch31_DGRP"	"DGRP69"	32	16	1
"Batch31_DGRP"	"DGRP217"	32	23	1
"Batch31_DGRP"	"DGRP335"	32	8	1
"Batch31_DGRP"	"DGRP361"	32	10	1
"Batch31_DGRP"	"DGRP441"	32	25	1
"Batch31_DGRP"	"DGRP492"	32	13	1
"Batch31_DGRP"	"DGRP535"	32	32	1
"Batch4a_DGRP"	"DGRP705"	32	29	1
"Batch4a_DGRP"	"DGRP357"	32	24	1
"Batch4a_DGRP"	"DGRP820"	32	27	1
"Batch4b_DGRP"	"DGRP380"	32	17	1
"Batch4b_DGRP"	"DGRP555"	32	29	1
"Batch4b_DGRP"	"DGRP765"	32	19	1
"Batch4b_DGRP"	"DGRP399"	32	19	1
"Batch4b_DGRP"	"DGRP730"	32	28	1
"Batch4c_DGRP"	"DGRP712"	32	22	1
"Batch4c_DGRP"	"DGRP391"	32	16	1
"Batch4c_DGRP"	"DGRP707"	32	10	1
"Batch4c_DGRP"	"DGRP380"	32	22	1
"Batch4c_DGRP"	"DGRP437"	32	16	1
"Batch4c_DGRP"	"DGRP639"	32	14	1
"Batch4c_DGRP"	"DGRP732"	32	28	1
"Batch4c_DGRP"	"DGRP374"	32	26	1
"Batch4c_DGRP"	"DGRP486"	32	22	1
"Batch5b_DGRP"	"DGRP843"	32	22	1
"Batch5b_DGRP"	"DGRP379"	32	24	1
"Batch5b_DGRP"	"DGRP441"	32	19	1
"Batch5b_DGRP"	"CS"	32	21	1
"Batch5b_DGRP"	"DGRP517"	32	15	1
"Batch5b_DGRP"	"DGRP783"	32	30	1
"Batch5b_DGRP"	"DGRP897"	32	24	1
"Batch5b_DGRP"	"DGRP913"	32	20	1
"Batch5b_DGRP"	"DGRP105"	32	20	1
"Batch5b_DGRP"	"DGRP310"	32	22	1
"Batch6_DGRP"	"DGRP59"	32	27	1
"Batch6_DGRP"	"DGRP101"	32	27	1
"Batch6_DGRP"	"DGRP318"	32	24	1
"Batch6_DGRP"	"DGRP335"	32	17	1
"Batch6_DGRP"	"DGRP338"	32	14	1
"Batch6_DGRP"	"DGRP584"	32	9	1
"Batch6_DGRP"	"DGRP796"	32	22	1
"Batch6_DGRP"	"CS"	32	24	1
"Batch6_DGRP"	"DGRP31"	32	24	1
"Batch7_DGRP"	"DGRP441"	32	19	1
"Batch8_DGRP"	"DGRP136"	32	22	1
"Batch8_DGRP"	"DGRP502"	32	15	1
"Batch8_DGRP"	"DGRP513"	32	15	1
"Batch8_DGRP"	"DGRP832"	32	15	1
"Batch8_DGRP"	"DGRP40"	32	15	1
"Batch8_DGRP"	"DGRP181"	32	18	1
"Batch8_DGRP"	"DGRP217"	32	18	1
"Batch8_DGRP"	"DGRP336"	32	13	1
"Batch8_DGRP"	"DGRP409"	32	14	1
"Batch9_DGRP"	"CS"	32	28	1
"Batch9_DGRP"	"DGRP808"	32	24	1
"Batch9_DGRP"	"DGRP703"	32	31	1
"Batch9_DGRP"	"DGRP716"	32	19	1
"Batch9_DGRP"	"DGRP787"	32	29	1
"Batch9_DGRP"	"DGRP737"	32	29	1
"Batch9_DGRP"	"DGRP837"	32	13	1
"Batch9_DGRP"	"DGRP890"	32	26	1
"Batch9_DGRP"	"DGRP310"	32	27	1
"Batch9_DGRP"	"DGRP907"	32	30	1
"Batch9_DGRP"	"DGRP908"	32	18	1
